l_s	l_l	R	theta	
	 0.48637	 0.42026	 0.02464	 -0.38439
	 0.49061	 0.35111	 0.02408	 -0.37836
	 0.49060	 0.35111	 0.02408	 -0.37836
	 0.48987	 0.36542	 0.02385	 -0.37546
	 0.49740	 0.45606	 0.02440	 -0.38347
	 0.48665	 0.19060	 0.02339	 -0.36923
	 0.49740	 0.45606	 0.02478	 -0.38809
	 0.30728	 0.41720	 0.02464	 -0.36793
	 0.48509	 0.37773	 0.02344	 -0.36959
	 0.49884	 0.48807	 0.02439	 -0.38368
	 0.47011	 0.41727	 0.02340	 -0.36646
	 0.23042	 0.42019	 0.02464	 -0.34868
	 0.32208	 0.41372	 0.02339	 -0.34693
	 0.48916	 0.36890	 0.02464	 -0.38492
	 0.45755	 0.46095	 0.02410	 -0.37244
	 0.45755	 0.45998	 0.02386	 -0.36961
	 0.48980	 0.46093	 0.02388	 -0.37583
	 0.40758	 0.46077	 0.02473	 -0.38387
	 0.48568	 0.37449	 0.02385	 -0.37473
	 0.45852	 0.45184	 0.02450	 -0.37724
	 0.45852	 0.44446	 0.02450	 -0.37731
	 0.34016	 0.46155	 0.02307	 -0.34883
	 0.49018	 0.43801	 0.02437	 -0.38188
	 0.45852	 0.45184	 0.02464	 -0.37890
	 0.49577	 0.40928	 0.02440	 -0.38326
	 0.48916	 0.36417	 0.02354	 -0.37156
	 0.49740	 0.45606	 0.02440	 -0.38347
	 0.49740	 0.46092	 0.02440	 -0.38347
	 0.49776	 0.44150	 0.02437	 -0.38326
	 0.46771	 0.47950	 0.02441	 -0.37799
	 0.47196	 0.46587	 0.02441	 -0.37882
	 0.49071	 0.46078	 0.02484	 -0.38755
	 0.49267	 0.48807	 0.02478	 -0.38726
	 0.33346	 0.42519	 0.02493	 -0.37978
	 0.49884	 0.48807	 0.02439	 -0.38368
	 0.48980	 0.46077	 0.02477	 -0.38654
	 0.49383	 0.35790	 0.02409	 -0.37906
	 0.49383	 0.34353	 0.02491	 -0.38900
	 0.34016	 0.46155	 0.02464	 -0.37907
	 0.47206	 0.46919	 0.02440	 -0.37873
	 0.33346	 0.41720	 0.02464	 -0.37692
	 0.40758	 0.46077	 0.02473	 -0.38387
	 0.49740	 0.45606	 0.02478	 -0.38809
	 0.40758	 0.46077	 0.02350	 -0.36990
	 0.49740	 0.46941	 0.02440	 -0.38347
	 0.49926	 0.45606	 0.02478	 -0.38844
	 0.48637	 0.42026	 0.02485	 -0.38688
	 0.49060	 0.35111	 0.02191	 -0.35147
	 0.49740	 0.46076	 0.02477	 -0.38798
	 0.49968	 0.45608	 0.02439	 -0.38387
	 0.46404	 0.44990	 0.02440	 -0.37716
	 0.49519	 0.44199	 0.02440	 -0.38307
	 0.48325	 0.42026	 0.02475	 -0.38513
	 0.48638	 0.45019	 0.02461	 -0.38406
	 0.49383	 0.36928	 0.02404	 -0.37848
	 0.48916	 0.34601	 0.02469	 -0.38549
	 0.49783	 0.42071	 0.02464	 -0.38656
	 0.48593	 0.42601	 0.02473	 -0.38534
	 0.48265	 0.35517	 0.02435	 -0.38019
	 0.49444	 0.45237	 0.02491	 -0.38911
	 0.48593	 0.42601	 0.02494	 -0.38785
	 0.49884	 0.49236	 0.02439	 -0.38368
	 0.49776	 0.43545	 0.02434	 -0.38283
	 0.48980	 0.46077	 0.02480	 -0.38696
	 0.42806	 0.46077	 0.02473	 -0.38873
	 0.49814	 0.42026	 0.02465	 -0.38664
	 0.49926	 0.46042	 0.02478	 -0.38843
	 0.48980	 0.45642	 0.02474	 -0.38624
	 0.41321	 0.46223	 0.02452	 -0.38288
	 0.49066	 0.46997	 0.02441	 -0.38236
	 0.48637	 0.42026	 0.02485	 -0.38688
	 0.49740	 0.45606	 0.02462	 -0.38620
	 0.48637	 0.42026	 0.02464	 -0.38439
	 0.48916	 0.34601	 0.02469	 -0.38549
	 0.44935	 0.45752	 0.02473	 -0.39347
	 0.49383	 0.26262	 0.02491	 -0.38900
	 0.49383	 0.48833	 0.02478	 -0.38744
	 0.49267	 0.34249	 0.02491	 -0.38881
	 0.49163	 0.43206	 0.02469	 -0.38595
	 0.48638	 0.34210	 0.02461	 -0.38407
	 0.49740	 0.45606	 0.02440	 -0.38351
	 0.49740	 0.45606	 0.02477	 -0.38805
	 0.49444	 0.45237	 0.02491	 -0.38911
	 0.49740	 0.46076	 0.02477	 -0.38798
	 0.48995	 0.45237	 0.02491	 -0.38826
	 0.49429	 0.46077	 0.02490	 -0.38904
	 0.49383	 0.34353	 0.02497	 -0.38971
	 0.40758	 0.46077	 0.02473	 -0.38387
	 0.48957	 0.44258	 0.02440	 -0.38204
	 0.49732	 0.46720	 0.02477	 -0.38795
	 0.48593	 0.42601	 0.02473	 -0.38534
	 0.49267	 0.43297	 0.02478	 -0.38726
	 0.49383	 0.36808	 0.02491	 -0.38901
	 0.49071	 0.46078	 0.02484	 -0.38754
	 0.49783	 0.42071	 0.02278	 -0.36344
	 0.49740	 0.46092	 0.02467	 -0.38675
	 0.49783	 0.42071	 0.02464	 -0.38656
	 0.46560	 0.48437	 0.02478	 -0.38190
	 0.48325	 0.42026	 0.02475	 -0.38513
	 0.49968	 0.45608	 0.02469	 -0.38750
	 0.49383	 0.42742	 0.02497	 -0.38971
	 0.49444	 0.46134	 0.02360	 -0.37315
	 0.49740	 0.46076	 0.02477	 -0.38798
	 0.49732	 0.46720	 0.02477	 -0.38795
	 0.49378	 0.33990	 0.02491	 -0.38899
	 0.49930	 0.46042	 0.02478	 -0.38844
	 0.49444	 0.45237	 0.02491	 -0.38911
	 0.49740	 0.45606	 0.02478	 -0.38809
	 0.49821	 0.46077	 0.02490	 -0.38978
	 0.49740	 0.46617	 0.02477	 -0.38798
	 0.49255	 0.42090	 0.02464	 -0.38553
	 0.49825	 0.48738	 0.02479	 -0.38837
	 0.49267	 0.43297	 0.02489	 -0.38861
	 0.48995	 0.45559	 0.02491	 -0.38826
	 0.49740	 0.45606	 0.02478	 -0.38809
	 0.44935	 0.45752	 0.02473	 -0.39347
	 0.48415	 0.44915	 0.02477	 -0.38547
	 0.48980	 0.46077	 0.02500	 -0.38930
	 0.49267	 0.45115	 0.02491	 -0.38881
	 0.48980	 0.35210	 0.02493	 -0.38847
	 0.49078	 0.47337	 0.02483	 -0.38750
	 0.49376	 0.49093	 0.02410	 -0.37919
	 0.49444	 0.45581	 0.02491	 -0.38911
	 0.49071	 0.46078	 0.02488	 -0.38808
	 0.49879	 0.46702	 0.02405	 -0.37948
	 0.49740	 0.45624	 0.02447	 -0.38437
	 0.49926	 0.45506	 0.02490	 -0.38995
	 0.49383	 0.36808	 0.02317	 -0.36767
	 0.49385	 0.45830	 0.02491	 -0.38900
	 0.49737	 0.34128	 0.02478	 -0.38808
	 0.49331	 0.48833	 0.02246	 -0.35873
	 0.49383	 0.34791	 0.02497	 -0.38971
	 0.44873	 0.36808	 0.02269	 -0.35427
	 0.49433	 0.45752	 0.02481	 -0.38789
