xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.73179	 -0.68872	 0.95309	 0.58617	 0.42561	 -0.17913	 0.82200	 -0.45398	 409.07167	 -0.36321 	 62.16552
	 0.73375	 -0.68872	 0.95303	 0.58136	 0.42561	 -0.18756	 0.82200	 -0.45763	 407.80080	 -0.35573 	 61.72216
	 0.64253	 -0.36215	 0.80357	 0.02428	 0.42059	 -0.60796	 0.97204	 -0.73352	 351.55236	 -0.01319 	 26.72136
	 0.67436	 -0.20455	 0.80679	 0.00197	 0.52350	 0.73237	 0.81522	 -0.64488	 346.01852	 -0.00363 	 20.70313
	 0.67454	 -0.65744	 0.80043	 0.65682	 0.61623	 0.78986	 0.85087	 -0.30153	 371.25977	 0.00000 	 0.00000
	 0.57077	 -0.69523	 0.86870	 0.59462	 0.56412	 0.00925	 0.83591	 -0.48865	 391.56862	 -0.34435 	 66.97649
	 0.62729	 -0.00292	 0.82771	 0.03175	 0.65222	 -0.34177	 0.94512	 -0.27880	 327.18996	 0.00000 	 0.00000
	 0.67244	 -0.62818	 0.76977	 0.02640	 0.61746	 -0.86260	 0.95330	 -0.35542	 311.13832	 0.00000 	 10.35351
	 0.53683	 -0.62807	 0.78403	 0.80895	 0.61539	 -0.81674	 0.91222	 -0.33705	 353.68382	 0.00928 	 31.06069
	 0.70757	 -0.87905	 0.81992	 0.02878	 0.42587	 -0.18756	 0.90506	 -0.44818	 310.91170	 0.00000 	 11.98893
	 0.72839	 -0.69002	 0.95143	 0.58211	 0.68109	 0.02182	 0.82404	 -0.19310	 411.48244	 -0.14679 	 61.37202
	 0.60320	 -0.84807	 0.88467	 0.03728	 0.73812	 -0.01157	 0.94053	 -0.47617	 342.60535	 0.00000 	 0.00000
	 0.60320	 -0.79879	 0.88477	 0.04034	 0.73812	 -0.00672	 0.94053	 -0.37365	 342.60535	 0.00000 	 0.00000
	 0.73564	 -0.80059	 0.88296	 0.03728	 0.73812	 -0.00664	 0.94053	 -0.49548	 342.60535	 0.00000 	 0.00000
	 0.60274	 -0.79875	 0.99157	 0.16897	 0.66549	 0.01437	 0.80175	 -0.83924	 400.76850	 -0.09636 	 45.45797
	 0.67157	 -0.71839	 0.77802	 0.59160	 0.61446	 0.72922	 0.85263	 -0.48900	 390.67279	 0.00981 	 9.98407
	 0.57797	 -0.63753	 0.86817	 0.25953	 0.42016	 -0.33846	 0.79231	 -0.33338	 375.63252	 -0.31872 	 60.13567
	 0.44120	 -0.12118	 0.87953	 0.17355	 0.55403	 0.33831	 0.86028	 -0.36346	 350.47806	 0.00000 	 0.00000
	 0.60320	 -0.79879	 0.88477	 0.04714	 0.72488	 -0.01157	 0.94209	 -0.37257	 342.60535	 0.00000 	 0.00000
	 0.73578	 -0.86077	 0.94752	 0.18471	 0.70356	 -0.08075	 0.78902	 -0.82149	 386.36824	 -0.35965 	 53.17990
	 0.67436	 -0.45266	 0.81055	 0.01396	 0.51486	 0.79095	 0.96230	 -0.64312	 369.42848	 -0.41420 	 19.63387
	 0.63481	 -0.63530	 0.77802	 0.02400	 0.61446	 0.72922	 0.85341	 -0.87604	 350.55704	 0.00001 	 13.48177
	 0.58226	 -0.35461	 0.80357	 0.26207	 0.40405	 -0.60796	 0.77211	 -0.73717	 374.50552	 0.00964 	 28.35545
	 0.56786	 -0.12314	 0.83564	 0.08917	 0.57050	 -0.00116	 0.94375	 -0.36342	 341.73524	 0.00000 	 0.00000
	 0.44183	 -0.00220	 0.87953	 0.18090	 0.54923	 0.33831	 0.86085	 -0.27881	 349.98359	 -0.00333 	 71.08904
	 0.67273	 -0.62807	 0.78403	 0.78522	 0.61752	 -0.86406	 0.91315	 -0.33705	 311.31414	 -0.00000 	 12.44998
	 0.53654	 -0.62818	 0.76977	 0.04575	 0.61533	 -0.81528	 0.95721	 -0.35542	 346.19626	 -0.00325 	 36.82131
	 0.64450	 -0.69761	 0.80357	 0.61097	 0.40405	 -0.46375	 0.97204	 -0.73717	 350.57556	 0.00000 	 0.00000
	 0.73179	 -0.35326	 0.95303	 0.01194	 0.42561	 -0.19273	 0.82200	 -0.45398	 408.77606	 -0.29282 	 59.85579
	 0.73492	 -0.43404	 0.95015	 0.18522	 0.47987	 -0.08075	 0.91021	 -0.81744	 386.36824	 -0.10118 	 48.78376
	 0.67244	 -0.12105	 0.88966	 0.55557	 0.69458	 0.80721	 0.78837	 -0.44778	 410.86408	 0.00000 	 0.00000
