Time,Extension,Load,Tensile strain (Extension),Temperature: Chamber 3119-600 1 1,Tensile stress
(s),(mm),(N),(mm/mm),(C),(MPa)
"28.30000","1.60686","10.10950","0.00466","120.15458","88.67265"
"28.40000","1.60827","10.16176","0.00467","120.15458","89.13109"
"28.50000","1.60981","10.19158","0.00469","120.15458","89.39260"
"28.60000","1.61150","10.21699","0.00471","120.15458","89.61547"
"28.70000","1.61333","10.25261","0.00472","120.15211","89.92796"
"28.80000","1.61517","10.28750","0.00474","120.15211","90.23399"
"28.90000","1.61652","10.32504","0.00476","120.15211","90.56322"
"29.00000","1.61805","10.35217","0.00477","120.15211","90.80122"
"29.10000","1.61975","10.40823","0.00479","120.15211","91.29290"
"29.20000","1.62168","10.45109","0.00481","120.15211","91.66886"
"29.30000","1.62345","10.48173","0.00482","120.15421","91.93761"
"29.40000","1.62480","10.51260","0.00484","120.15421","92.20834"
"29.50000","1.62631","10.54388","0.00485","120.15421","92.48270"
"29.60000","1.62805","10.56968","0.00487","120.15421","92.70907"
"29.70000","1.62998","10.61941","0.00489","120.15421","93.14525"
"29.80000","1.63179","10.64440","0.00491","120.16063","93.36443"
"29.90000","1.63313","10.70214","0.00492","120.16063","93.87084"
"30.00000","1.63465","10.74123","0.00493","120.16063","94.21371"
"30.10000","1.63642","10.76453","0.00495","120.16063","94.41808"
"30.20000","1.63839","10.81404","0.00497","120.16063","94.85239"
"30.30000","1.64010","10.84454","0.00499","120.16063","95.11989"
"30.40000","1.64143","10.91681","0.00500","120.16096","95.75378"
"30.50000","1.64299","10.90832","0.00502","120.16096","95.67929"
"30.60000","1.64477","10.93734","0.00503","120.16096","95.93384"
"30.70000","1.64681","11.02265","0.00505","120.16096","96.68214"
"30.80000","1.64840","11.04754","0.00507","120.16096","96.90044"
"30.90000","1.64980","11.06113","0.00508","120.16096","97.01967"
"31.00000","1.65137","11.06832","0.00510","120.15954","97.08271"
"31.10000","1.65317","11.13531","0.00512","120.15954","97.67030"
"31.20000","1.65522","11.18017","0.00514","120.15954","98.06378"
"31.30000","1.65670","11.19942","0.00515","120.15954","98.23260"
"31.40000","1.65813","11.21105","0.00517","120.15954","98.33461"
