76	0.16
ID: 69
14.46	-17.00	-0.41
14.52	-16.82	-0.38
14.52	-16.77	-0.35
14.52	-16.76	-0.35
14.52	-16.99	-0.28
14.62	-17.40	-0.29
14.58	-17.39	-0.26
14.55	-17.10	-0.29
14.62	-17.16	-0.26
14.61	-17.53	-0.30
14.61	-17.48	-0.31
14.71	-17.37	-0.34
14.78	-17.74	-0.35
14.85	-17.42	-0.35
14.92	-17.30	-0.36
14.95	-17.64	-0.39
15.02	-17.80	-0.40
15.05	-17.82	-0.37
15.12	-18.13	-0.40
15.12	-18.32	-0.37
15.15	-18.56	-0.34
15.18	-18.79	-0.31
15.22	-18.60	-0.28
15.28	-18.56	-0.32
15.32	-18.69	-0.32
15.28	-18.54	-0.29
15.28	-18.87	-0.29
15.31	-18.83	-0.33
15.34	-18.92	-0.30
15.38	-18.91	-0.34
15.38	-19.04	-0.38
15.48	-18.89	-0.38
15.55	-19.15	-0.39
15.68	-19.42	-0.36
15.72	-19.55	-0.36
15.75	-19.30	-0.40
15.78	-19.39	-0.40
15.85	-19.76	-0.40
15.88	-20.27	-0.41
15.92	-20.75	-0.45
15.98	-21.08	-0.45
16.05	-20.97	-0.45
16.12	-20.82	-0.42
16.22	-21.16	-0.43
16.25	-21.25	-0.43
16.29	-21.45	-0.47
16.36	-21.40	-0.51
16.39	-21.18	-0.51
16.39	-21.55	-0.55
16.45	-21.61	-0.62
16.49	-21.08	-0.63
16.49	-20.62	-0.59
16.45	-20.12	-0.56
16.48	-19.51	-0.53
16.51	-19.02	-0.54
16.65	-18.76	-0.51
16.65	-18.58	-0.51
16.68	-18.36	-0.55
16.75	-17.93	-0.55
16.78	-17.47	-0.49
16.89	-17.00	-0.45
16.99	-16.51	-0.46
16.99	-15.94	-0.39
17.05	-15.41	-0.36
17.05	-14.91	-0.36
17.16	-15.17	-0.37
17.22	-15.41	-0.30
17.22	-15.92	-0.27
17.25	-16.57	-0.27
17.32	-16.97	-0.31
17.35	-16.72	-0.28
17.39	-16.22	-0.25
17.49	-16.66	-0.25
17.49	-16.65	-0.19
17.52	-16.88	-0.19
17.59	-17.43	-0.27
17.62	-17.21	-0.23
17.65	-17.20	-0.31
17.72	-17.50	-0.31
17.76	-17.66	-0.31
17.75	-17.34	-0.32
17.79	-17.36	-0.29
17.85	-17.35	-0.29
17.92	-17.55	-0.33
17.99	-17.92	-0.37
18.09	-17.39	-0.30
18.16	-17.52	-0.34
18.23	-18.06	-0.38
18.30	-18.02	-0.38
18.36	-18.32	-0.39
18.40	-18.45	-0.42
18.43	-18.54	-0.46
18.46	-18.50	-0.50
18.50	-18.76	-0.51
18.49	-19.17	-0.47
18.56	-19.33	-0.55
18.59	-19.49	-0.52
18.63	-19.62	-0.52
18.59	-19.16	-0.49
18.62	-18.91	-0.46
18.69	-19.28	-0.50
18.72	-19.27	-0.53
18.69	-19.19	-0.50
18.72	-19.87	-0.47
18.75	-19.20	-0.55
18.89	-20.02	-0.55
18.92	-19.32	-0.55
18.99	-19.97	-0.52
