Time,Extension,Load,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
"22.20000","1.13373","7.56662","0.00174","66.36855"
"22.30000","1.13620","7.59952","0.00174","66.65710"
"22.40000","1.13912","7.64172","0.00175","67.02724"
"22.50000","1.14143","7.67496","0.00176","67.31882"
"22.60000","1.14372","7.70374","0.00177","67.57121"
"22.70000","1.14646","7.74058","0.00178","67.89432"
"22.80000","1.14884","7.77120","0.00178","68.16295"
"22.90000","1.15119","7.79946","0.00179","68.41080"
"23.00000","1.15393","7.84237","0.00180","68.78722"
"23.10000","1.15637","7.86881","0.00181","69.01910"
"23.20000","1.15865","7.90735","0.00181","69.35715"
"23.30000","1.16147","7.93996","0.00182","69.64314"
"23.40000","1.16406","7.97877","0.00183","69.98354"
"23.50000","1.16622","8.00853","0.00184","70.24464"
"23.60000","1.16907","8.04834","0.00185","70.59377"
"23.70000","1.17169","8.08087","0.00185","70.87912"
"23.80000","1.17376","8.10744","0.00186","71.11217"
"23.90000","1.17651","8.14783","0.00187","71.46641"
"24.00000","1.17933","8.18646","0.00188","71.80527"
"24.10000","1.18125","8.20742","0.00188","71.98907"
"24.20000","1.18370","8.24146","0.00189","72.28764"
"24.30000","1.18683","8.28912","0.00190","72.70576"
"24.40000","1.18893","8.31421","0.00191","72.92583"
"24.50000","1.19112","8.34351","0.00192","73.18280"
"24.60000","1.19414","8.38631","0.00193","73.55823"
"24.70000","1.19654","8.41665","0.00193","73.82430"
"24.80000","1.19858","8.44526","0.00194","74.07529"
"24.90000","1.20139","8.48364","0.00195","74.41187"
"25.00000","1.20419","8.51322","0.00196","74.67136"
"25.10000","1.20606","8.54472","0.00196","74.94769"
"25.20000","1.20874","8.57750","0.00197","75.23514"
"25.30000","1.21193","8.62381","0.00198","75.64135"
"25.40000","1.21384","8.64826","0.00199","75.85585"
"25.50000","1.21618","8.68359","0.00199","76.16566"
"25.60000","1.21939","8.72717","0.00200","76.54796"
"25.70000","1.22150","8.75709","0.00201","76.81043"
"25.80000","1.22357","8.78390","0.00202","77.04552"
"25.90000","1.22667","8.82362","0.00203","77.39391"
"26.00000","1.22911","8.86281","0.00203","77.73766"
"26.10000","1.23105","8.88531","0.00204","77.93508"
"26.20000","1.23388","8.92076","0.00205","78.24600"
"26.30000","1.23680","8.96206","0.00206","78.60819"
"26.40000","1.23866","8.98989","0.00206","78.85233"
"26.50000","1.24113","9.02265","0.00207","79.13966"
"26.60000","1.24419","9.05806","0.00208","79.45030"
"26.70000","1.24630","9.09088","0.00209","79.73814"
"26.80000","1.24854","9.12033","0.00210","79.99649"
"26.90000","1.25157","9.16423","0.00211","80.38155"
"27.00000","1.25388","9.19396","0.00211","80.64230"
"27.10000","1.25611","9.22262","0.00212","80.89371"
"27.20000","1.25911","9.26740","0.00213","81.28645"
"27.30000","1.26170","9.29871","0.00214","81.56108"
"27.40000","1.26374","9.32542","0.00214","81.79534"
"27.50000","1.26649","9.36364","0.00215","82.13058"
"27.60000","1.26921","9.39322","0.00216","82.39001"
"27.70000","1.27133","9.42601","0.00217","82.67766"
"27.80000","1.27391","9.46338","0.00218","83.00543"
"27.90000","1.27674","9.49499","0.00218","83.28269"
"28.00000","1.27884","9.52505","0.00219","83.54636"
"28.10000","1.28139","9.56169","0.00220","83.86772"
"28.20000","1.28422","9.60013","0.00221","84.20485"
"28.30000","1.28643","9.62757","0.00221","84.44553"
"28.40000","1.28878","9.65931","0.00222","84.72397"
"28.50000","1.29158","9.70105","0.00223","85.09005"
"28.60000","1.29394","9.72665","0.00224","85.31461"
"28.70000","1.29621","9.75859","0.00225","85.59479"
