Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
15/07/2016	20:14:59	168	54,267	29,6128196716309
15/07/2016	20:14:59	468	54,567	29,5736618041992
15/07/2016	20:14:59	882	54,981	29,6030311584473
15/07/2016	20:15:00	031	55,13	29,6275005340576
15/07/2016	20:15:00	477	55,576	29,6372871398926
15/07/2016	20:15:00	843	55,942	29,6617488861084
15/07/2016	20:15:00	977	56,076	29,6764221191406
15/07/2016	20:15:01	243	56,342	29,6715316772461
15/07/2016	20:15:01	608	56,707	29,710657119751
15/07/2016	20:15:01	805	56,904	29,7302131652832
15/07/2016	20:15:02	303	57,402	29,6519641876221
15/07/2016	20:15:02	473	57,572	29,5981369018555
15/07/2016	20:15:02	594	57,693	29,6226062774658
15/07/2016	20:15:02	712	57,811	29,6617488861084
15/07/2016	20:15:02	909	58,008	29,6519641876221
15/07/2016	20:15:03	429	58,528	29,6910953521729
15/07/2016	20:15:03	545	58,644	29,578556060791
15/07/2016	20:15:03	697	58,796	29,5687656402588
15/07/2016	20:15:03	912	59,011	29,5687656402588
15/07/2016	20:15:04	031	59,13	29,5932426452637
15/07/2016	20:15:04	482	59,581	29,5295925140381
15/07/2016	20:15:04	661	59,76	29,51979637146
15/07/2016	20:15:04	811	59,91	29,6226062774658
15/07/2016	20:15:05	145	60,244	29,5981369018555
15/07/2016	20:15:05	381	60,48	29,5344905853271
15/07/2016	20:15:05	771	60,87	29,5442848205566
15/07/2016	20:15:05	953	61,052	29,5687656402588
15/07/2016	20:15:06	234	61,333	29,5687656402588
15/07/2016	20:15:06	303	61,402	29,5834522247314
15/07/2016	20:15:06	668	61,767	29,5442848205566
15/07/2016	20:15:06	747	61,846	29,578556060791
15/07/2016	20:15:06	964	62,063	29,6226062774658
15/07/2016	20:15:07	331	62,43	29,5344905853271
15/07/2016	20:15:07	499	62,598	29,5883464813232
15/07/2016	20:15:07	730	62,829	29,5393867492676
15/07/2016	20:15:07	913	63,012	29,5687656402588
15/07/2016	20:15:08	064	63,163	29,6079254150391
15/07/2016	20:15:08	719	63,818	29,6275005340576
15/07/2016	20:15:09	060	64,159	29,4757080078125
15/07/2016	20:15:09	341	64,44	29,5148983001709
15/07/2016	20:15:09	691	64,79	29,4757080078125
15/07/2016	20:15:09	860	64,959	29,5100002288818
15/07/2016	20:15:10	119	65,218	29,4806060791016
15/07/2016	20:15:10	554	65,653	29,5491809844971
15/07/2016	20:15:10	674	65,773	29,5638694763184
15/07/2016	20:15:11	159	66,258	29,4757080078125
15/07/2016	20:15:11	435	66,534	29,490406036377
15/07/2016	20:15:11	713	66,812	29,4708080291748
15/07/2016	20:15:11	764	66,863	29,4512062072754
15/07/2016	20:15:12	187	67,286	29,4659080505371
15/07/2016	20:15:12	329	67,428	29,6128196716309
15/07/2016	20:15:12	741	67,84	29,5442848205566
15/07/2016	20:15:13	041	68,14	29,5051021575928
15/07/2016	20:15:13	200	68,299	29,51979637146
15/07/2016	20:15:13	588	68,687	29,6372871398926
15/07/2016	20:15:14	036	69,135	29,5442848205566
15/07/2016	20:15:14	372	69,471	29,5981369018555
15/07/2016	20:15:14	498	69,597	29,5589733123779
15/07/2016	20:15:14	629	69,728	29,578556060791
15/07/2016	20:15:14	830	69,929	29,5148983001709
