Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
18/07/2016	17:28:17	504	44,062	26,8335552215576
18/07/2016	17:28:17	660	44,218	26,8837013244629
18/07/2016	17:28:18	121	44,679	26,8435859680176
18/07/2016	17:28:18	179	44,737	26,8837013244629
18/07/2016	17:28:18	604	45,162	26,9338264465332
18/07/2016	17:28:18	927	45,485	26,8536167144775
18/07/2016	17:28:19	296	45,854	26,8185062408447
18/07/2016	17:28:19	723	46,281	26,8636455535889
18/07/2016	17:28:19	865	46,423	26,7783679962158
18/07/2016	17:28:20	267	46,825	26,7733478546143
18/07/2016	17:28:20	402	46,96	26,793420791626
18/07/2016	17:28:20	599	47,157	26,7582912445068
18/07/2016	17:28:20	773	47,331	26,788402557373
18/07/2016	17:28:20	981	47,539	26,788402557373
18/07/2016	17:28:21	339	47,897	26,9588794708252
18/07/2016	17:28:21	668	48,226	26,8034553527832
18/07/2016	17:28:21	828	48,386	26,8335552215576
18/07/2016	17:28:22	019	48,577	26,823522567749
18/07/2016	17:28:22	521	49,079	26,823522567749
18/07/2016	17:28:22	600	49,158	26,9588794708252
18/07/2016	17:28:22	805	49,363	26,9037532806396
18/07/2016	17:28:22	992	49,55	26,94384765625
18/07/2016	17:28:23	369	49,927	26,8486003875732
18/07/2016	17:28:23	700	50,258	26,9087657928467
18/07/2016	17:28:23	858	50,416	26,8686599731445
18/07/2016	17:28:24	042	50,6	26,7984390258789
18/07/2016	17:28:24	173	50,731	26,9037532806396
18/07/2016	17:28:24	518	51,076	26,8686599731445
18/07/2016	17:28:24	948	51,506	26,8385696411133
18/07/2016	17:28:25	371	51,929	26,7984390258789
18/07/2016	17:28:25	532	52,09	26,7633113861084
18/07/2016	17:28:26	211	52,769	26,7582912445068
18/07/2016	17:28:26	354	52,912	26,7783679962158
18/07/2016	17:28:26	758	53,316	26,7532730102539
18/07/2016	17:28:26	919	53,477	26,8084735870361
18/07/2016	17:28:27	106	53,664	26,7833843231201
18/07/2016	17:28:27	346	53,904	26,8185062408447
18/07/2016	17:28:27	524	54,082	26,823522567749
18/07/2016	17:28:27	751	54,309	26,823522567749
18/07/2016	17:28:28	067	54,625	26,8385696411133
18/07/2016	17:28:28	259	54,817	26,8486003875732
18/07/2016	17:28:28	637	55,195	26,823522567749
18/07/2016	17:28:29	025	55,583	26,793420791626
18/07/2016	17:28:29	132	55,69	26,8435859680176
18/07/2016	17:28:29	290	55,848	26,8636455535889
18/07/2016	17:28:29	491	56,049	26,7532730102539
18/07/2016	17:28:29	834	56,392	26,793420791626
18/07/2016	17:28:30	210	56,768	26,8536167144775
18/07/2016	17:28:30	823	57,381	26,793420791626
18/07/2016	17:28:30	956	57,514	26,7984390258789
18/07/2016	17:28:31	198	57,756	26,8837013244629
18/07/2016	17:28:31	504	58,062	26,8335552215576
18/07/2016	17:28:31	835	58,393	26,8034553527832
