Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Bx1.Max.
Emissivity				0.95
Distance				0.1
Reflected temperature				20
Location X				44
Location Y				93
Size X				171
Size Y				37
Surface (pixels)				6327

Date	Time	Milliseconds	Relative time	Bx1.Max.
08/07/2016	15:36:34	647	88,552	72,7265547035246
08/07/2016	15:36:35	210	89,115	73,091622971508
08/07/2016	15:36:35	642	89,547	72,91450794958
08/07/2016	15:36:35	952	89,857	73,0632975457179
08/07/2016	15:36:36	031	89,936	73,1942612733801
08/07/2016	15:36:36	740	90,645	73,7734840573597
08/07/2016	15:36:37	073	90,978	74,743664661137
08/07/2016	15:36:37	432	91,337	74,8627840352021
08/07/2016	15:36:37	937	91,842	74,6139366932117
08/07/2016	15:36:38	102	92,007	74,4314430592156
08/07/2016	15:36:38	511	92,416	74,255776879412
08/07/2016	15:36:38	668	92,573	73,9320582703724
08/07/2016	15:36:39	203	93,108	73,7911110156298
08/07/2016	15:36:39	420	93,325	73,9179690125734
08/07/2016	15:36:39	563	93,468	74,097516220047
08/07/2016	15:36:39	792	93,697	74,3014681875626
08/07/2016	15:36:40	514	94,419	74,6034137222873
08/07/2016	15:36:40	692	94,597	74,6244589905506
08/07/2016	15:36:40	891	94,796	74,4173966839729
08/07/2016	15:36:41	358	95,263	74,6490083989644
08/07/2016	15:36:41	866	95,771	75,1112559461827
08/07/2016	15:36:41	958	95,863	75,0238085446075
08/07/2016	15:36:42	398	96,303	75,0552949501751
08/07/2016	15:36:42	883	96,788	75,1637021488313
08/07/2016	15:36:43	310	97,215	75,1567102846286
08/07/2016	15:36:43	811	97,716	75,1637021488313
08/07/2016	15:36:44	188	98,093	75,5164070781132
08/07/2016	15:36:44	352	98,257	75,5164070781132
08/07/2016	15:36:44	610	98,515	75,2825185648468
08/07/2016	15:36:44	911	98,816	75,1706937168984
08/07/2016	15:36:45	644	99,549	75,9136089353654
08/07/2016	15:36:45	987	99,892	75,896207733843
08/07/2016	15:36:46	445	100,35	75,3977587256214
08/07/2016	15:36:46	945	100,85	75,1881713417412
08/07/2016	15:36:47	378	101,283	75,4536038440648
08/07/2016	15:36:47	993	101,898	73,9214914408347
08/07/2016	15:36:48	084	101,989	73,7452769665708
08/07/2016	15:36:48	718	102,623	73,9707974717294
08/07/2016	15:36:49	318	103,223	74,7787087201655
08/07/2016	15:36:49	641	103,546	75,2755317293982
08/07/2016	15:36:49	767	103,672	75,20564711663
08/07/2016	15:36:50	267	104,172	76,0631840507349
08/07/2016	15:36:50	678	104,583	75,8056920635274
08/07/2016	15:36:51	051	104,956	75,8022097052585
08/07/2016	15:36:51	333	105,238	76,3619312167875
08/07/2016	15:36:51	678	105,583	76,9889462775496
08/07/2016	15:36:51	835	105,74	76,6532144595754
08/07/2016	15:36:52	193	106,098	76,3480478827639
08/07/2016	15:36:52	808	106,713	77,2860432096466
08/07/2016	15:36:53	089	106,994	77,0511729679068
08/07/2016	15:36:53	648	107,553	76,9854885608943
08/07/2016	15:36:54	210	108,115	77,9921268143024
08/07/2016	15:36:54	667	108,572	78,5308908833895
08/07/2016	15:36:55	145	109,05	79,1430670313059
08/07/2016	15:36:55	235	109,14	79,6339496131157
08/07/2016	15:36:55	962	109,867	80,1845112686224
08/07/2016	15:36:56	364	110,269	80,6047372718018
08/07/2016	15:36:56	651	110,556	80,7536031311296
08/07/2016	15:36:57	236	111,141	81,0880817589591
08/07/2016	15:36:57	357	111,262	80,8212269038467
08/07/2016	15:36:58	017	111,922	80,706250685744
08/07/2016	15:36:58	450	112,355	80,5234833871834
08/07/2016	15:36:58	780	112,685	80,6385817310448
08/07/2016	15:36:59	051	112,956	80,8279878213334
08/07/2016	15:36:59	728	113,633	81,1859376833327
08/07/2016	15:36:59	856	113,761	81,2938523516854
08/07/2016	15:37:00	305	114,21	81,3848529918264
08/07/2016	15:37:00	503	114,408	81,4758057962998
08/07/2016	15:37:00	689	114,594	81,4758057962998
08/07/2016	15:37:01	242	115,147	82,3894212712613
08/07/2016	15:37:01	540	115,445	83,0548167247762
08/07/2016	15:37:02	130	116,035	83,9701962764893
08/07/2016	15:37:02	242	116,147	83,6744672943918
08/07/2016	15:37:02	671	116,576	83,568016272638
08/07/2016	15:37:03	153	117,058	83,0715026492779
08/07/2016	15:37:03	257	117,162	82,1748844869924
08/07/2016	15:37:03	510	117,415	81,9768738692163
08/07/2016	15:37:03	700	117,605	81,6306524886439
08/07/2016	15:37:04	177	118,082	80,8178463456134
08/07/2016	15:37:04	373	118,278	79,8482674985687
08/07/2016	15:37:04	838	118,743	78,3389172164382
08/07/2016	15:37:05	538	119,443	78,5206120977116
08/07/2016	15:37:05	635	119,54	79,7734568660642
08/07/2016	15:37:06	212	120,117	81,1960575465814
08/07/2016	15:37:06	720	120,625	82,1782386575846
08/07/2016	15:37:07	209	121,114	81,607097786686
08/07/2016	15:37:07	299	121,204	81,4623343219558
08/07/2016	15:37:07	874	121,779	81,2803667019835
08/07/2016	15:37:08	050	121,955	81,1319550646685
08/07/2016	15:37:08	251	122,156	80,9023404128635
08/07/2016	15:37:08	619	122,524	80,763748389754
08/07/2016	15:37:09	030	122,935	80,0758985952175
08/07/2016	15:37:09	404	123,309	80,7434572747794
08/07/2016	15:37:09	686	123,591	81,05432547381
08/07/2016	15:37:10	044	123,949	81,6743884457127
08/07/2016	15:37:10	589	124,494	81,2331586418706
08/07/2016	15:37:11	099	125,004	81,516213931973
08/07/2016	15:37:11	551	125,456	81,3444141734458
08/07/2016	15:37:11	859	125,764	81,1791907785025
08/07/2016	15:37:12	304	126,209	80,9800383967544
08/07/2016	15:37:12	635	126,54	80,7806558261635
08/07/2016	15:37:13	182	127,087	80,0589216450391
08/07/2016	15:37:13	579	127,484	79,6067153954409
08/07/2016	15:37:13	728	127,633	79,4466265414048
08/07/2016	15:37:14	271	128,176	79,1737886679837
08/07/2016	15:37:14	657	128,562	79,2625089247618
08/07/2016	15:37:15	110	129,015	80,3439115238209
08/07/2016	15:37:15	360	129,265	80,4354149839601
08/07/2016	15:37:15	746	129,651	80,689335941196
08/07/2016	15:37:16	196	130,101	80,8786862491068
08/07/2016	15:37:16	630	130,535	80,2591425905009
08/07/2016	15:37:17	049	130,954	79,4295869671727
08/07/2016	15:37:17	539	131,444	78,7876580951744
08/07/2016	15:37:17	809	131,714	79,1055108287638
08/07/2016	15:37:17	944	131,849	79,6884050223202
08/07/2016	15:37:18	383	132,288	80,6555014643848
08/07/2016	15:37:19	046	132,951	81,3174497081393
08/07/2016	15:37:19	219	133,124	80,7874183360399
08/07/2016	15:37:19	631	133,536	80,4760675475466
08/07/2016	15:37:20	024	133,929	79,8346679995429
08/07/2016	15:37:20	447	134,352	80,1064528671255
08/07/2016	15:37:20	610	134,515	79,8652653518981
08/07/2016	15:37:21	377	135,282	79,9196471360166
08/07/2016	15:37:21	851	135,756	78,8799992141894
08/07/2016	15:37:21	920	135,825	79,5862868808478
08/07/2016	15:37:22	149	136,054	79,5930966573393
08/07/2016	15:37:22	628	136,533	79,6543724262803
08/07/2016	15:37:22	748	136,653	79,3852761022686
08/07/2016	15:37:23	271	137,176	78,4109328669348
08/07/2016	15:37:24	165	138,07	78,712380010778
08/07/2016	15:37:24	333	138,238	81,1117072318597
08/07/2016	15:37:24	899	138,804	82,8611437261285
08/07/2016	15:37:25	010	138,915	83,9037835376006
08/07/2016	15:37:25	674	139,579	84,5270795558117
08/07/2016	15:37:25	805	139,71	84,9336900041974
08/07/2016	15:37:25	957	139,862	85,6257611126118
08/07/2016	15:37:26	461	140,366	86,3970556836657
08/07/2016	15:37:26	630	140,535	87,0215060037175
08/07/2016	15:37:27	084	140,989	87,1748354405551
08/07/2016	15:37:27	481	141,386	86,3413711280287
08/07/2016	15:37:27	849	141,754	85,8394305663486
08/07/2016	15:37:28	072	141,977	85,8558561061089
08/07/2016	15:37:28	277	142,182	85,7342713721656
08/07/2016	15:37:29	665	143,57	84,8907589159297
08/07/2016	15:37:29	845	143,75	85,3393720412157
08/07/2016	15:37:30	484	144,389	85,1910590370698
08/07/2016	15:37:30	630	144,535	85,5961559617483
08/07/2016	15:37:31	073	144,978	85,5928661975315
08/07/2016	15:37:31	600	145,505	85,7934310286037
08/07/2016	15:37:31	868	145,773	86,8582464261274
08/07/2016	15:37:32	085	145,99	87,3508406807817
08/07/2016	15:37:32	474	146,379	87,3834154523153
08/07/2016	15:37:33	103	147,008	85,8361452773975
08/07/2016	15:37:33	367	147,272	84,3217672667787
08/07/2016	15:37:33	933	147,838	82,9646852569317
08/07/2016	15:37:34	111	148,016	83,3549206896529
08/07/2016	15:37:34	516	148,421	83,3849028771764
08/07/2016	15:37:34	995	148,9	82,5233727892012
08/07/2016	15:37:35	344	149,249	81,5128469474312
08/07/2016	15:37:35	481	149,386	81,0948322239636
08/07/2016	15:37:35	665	149,57	80,8955824115524
08/07/2016	15:37:35	981	149,886	80,8009425593747
08/07/2016	15:37:36	541	150,446	80,0996634997358
08/07/2016	15:37:36	632	150,537	79,800664519721
08/07/2016	15:37:36	900	150,805	79,8414678842278
08/07/2016	15:37:37	509	151,414	80,5031639147181
08/07/2016	15:37:37	939	151,844	81,2331586418706
08/07/2016	15:37:38	356	152,261	82,349215742177
08/07/2016	15:37:38	448	152,353	82,8711665521417
08/07/2016	15:37:38	977	152,882	82,6438413035246
08/07/2016	15:37:39	085	152,99	82,0608041994354
08/07/2016	15:37:39	284	153,189	82,1379843433696
08/07/2016	15:37:39	842	153,747	81,9667995057798
08/07/2016	15:37:40	187	154,092	83,2849423352137
08/07/2016	15:37:40	396	154,301	84,01335115193
08/07/2016	15:37:40	895	154,8	85,3228989150465
08/07/2016	15:37:41	359	155,264	87,2693780754253
08/07/2016	15:37:41	449	155,354	88,1083159817602
08/07/2016	15:37:42	026	155,931	88,273694758968
08/07/2016	15:37:42	463	156,368	88,0758711379928
08/07/2016	15:37:42	652	156,557	88,3644271235796
08/07/2016	15:37:43	208	157,113	87,9233027671664
08/07/2016	15:37:43	525	157,43	88,0369296832591
08/07/2016	15:37:43	918	157,823	88,1180483064881
08/07/2016	15:37:44	061	157,966	88,1602156986062
08/07/2016	15:37:44	352	158,257	88,1180483064881
08/07/2016	15:37:44	787	158,692	88,7624676598955
08/07/2016	15:37:44	932	158,837	88,7495368925033
08/07/2016	15:37:45	452	159,357	89,3015135344143
08/07/2016	15:37:45	599	159,504	89,4722572097704
08/07/2016	15:37:46	117	160,022	89,6203213215152
08/07/2016	15:37:46	570	160,475	89,8068411551222
08/07/2016	15:37:47	221	161,126	89,9482130632899
08/07/2016	15:37:47	430	161,335	89,7071730336962
08/07/2016	15:37:48	092	161,997	89,890392207608
08/07/2016	15:37:48	593	162,498	89,3337414778271
08/07/2016	15:37:48	918	162,823	87,29219130442
08/07/2016	15:37:49	411	163,316	86,3086074382035
08/07/2016	15:37:49	580	163,485	85,313014308318
08/07/2016	15:37:50	015	163,92	84,6990936432896
08/07/2016	15:37:50	560	164,465	84,5204602937436
08/07/2016	15:37:50	696	164,601	84,2256522496547
08/07/2016	15:37:51	249	165,154	84,1759170704532
08/07/2016	15:37:51	375	165,28	83,6744672943918
08/07/2016	15:37:51	613	165,518	83,3948958023629
08/07/2016	15:37:51	896	165,801	83,2282727483108
