Calibrating
2016-07-06 10:44:32	1300.00  324.98 
2016-07-06 10:44:33	1300.00  315.48 
2016-07-06 10:44:34	1300.00  324.28 
2016-07-06 10:44:35	1300.00  321.28 
2016-07-06 10:44:36	1300.00  330.58 
2016-07-06 10:44:37	1300.00  324.48 
2016-07-06 10:44:38	1300.00  331.28 
2016-07-06 10:44:39	1300.00  319.48 
2016-07-06 10:44:41	1300.00  328.48 
2016-07-06 10:44:42	1300.00  319.38 
2016-07-06 10:44:43	1300.00  318.88 
2016-07-06 10:44:44	1300.00  326.38 
2016-07-06 10:44:45	1300.00  324.98 
2016-07-06 10:44:46	1300.00  327.08 
2016-07-06 10:44:47	1300.00  324.98 
2016-07-06 10:44:48	1300.00  325.08 
2016-07-06 10:44:49	1300.00  324.38 
2016-07-06 10:44:50	1300.00  322.48 
2016-07-06 10:44:51	1300.00  327.08 
2016-07-06 10:44:52	1300.00  324.28 
2016-07-06 10:44:53	1300.00  323.68 
2016-07-06 10:44:54	1300.00  328.48 
2016-07-06 10:44:56	1300.00  327.78 
2016-07-06 10:44:57	1300.00  320.08 
2016-07-06 10:44:58	1350.00  327.78 
2016-07-06 10:44:59	1350.00  319.48 
2016-07-06 10:45:00	1350.00  329.88 
2016-07-06 10:45:01	1350.00  331.98 
2016-07-06 10:45:02	1350.00  354.28 
2016-07-06 10:45:03	1350.00  352.38 
2016-07-06 10:45:04	1350.00  348.48 
2016-07-06 10:45:05	1350.00  353.68 
2016-07-06 10:45:06	1350.00  357.48 
2016-07-06 10:45:07	1350.00  347.08 
2016-07-06 10:45:08	1350.00  352.38 
2016-07-06 10:45:09	1350.00  349.88 
2016-07-06 10:45:11	1350.00  350.58 
2016-07-06 10:45:12	1350.00  352.38 
2016-07-06 10:45:13	1350.00  351.08 
2016-07-06 10:45:14	1350.00  356.28 
2016-07-06 10:45:15	1350.00  350.58 
2016-07-06 10:45:16	1350.00  357.28 
2016-07-06 10:45:17	1350.00  353.18 
2016-07-06 10:45:18	1350.00  356.08 
2016-07-06 10:45:19	1350.00  354.88 
2016-07-06 10:45:20	1350.00  357.28 
2016-07-06 10:45:21	1350.00  350.38 
2016-07-06 10:45:22	1350.00  354.88 
2016-07-06 10:45:23	1350.00  354.28 
2016-07-06 10:45:24	1350.00  356.68 
2016-07-06 10:45:26	1350.00  356.68 
2016-07-06 10:45:27	1350.00  361.48 
2016-07-06 10:45:28	1350.00  359.38 
2016-07-06 10:45:29	1350.00  346.38 
2016-07-06 10:45:30	1400.00  352.38 
2016-07-06 10:45:31	1400.00  351.88 
2016-07-06 10:45:32	1400.00  367.78 
2016-07-06 10:45:33	1400.00  376.78 
2016-07-06 10:45:34	1400.00  386.68 
2016-07-06 10:45:35	1400.00  385.48 
2016-07-06 10:45:36	1400.00  381.48 
2016-07-06 10:45:37	1400.00  373.08 
2016-07-06 10:45:38	1400.00  376.68 
2016-07-06 10:45:40	1400.00  384.88 
2016-07-06 10:45:41	1400.00  379.48 
2016-07-06 10:45:42	1400.00  382.88 
2016-07-06 10:45:43	1400.00  376.78 
2016-07-06 10:45:44	1400.00  380.08 
2016-07-06 10:45:45	1400.00  380.08 
2016-07-06 10:45:46	1400.00  378.68 
2016-07-06 10:45:47	1400.00  389.18 
2016-07-06 10:45:48	1400.00  373.68 
2016-07-06 10:45:49	1400.00  384.28 
2016-07-06 10:45:50	1400.00  380.78 
2016-07-06 10:45:51	1400.00  381.48 
2016-07-06 10:45:52	1400.00  382.18 
2016-07-06 10:45:53	1400.00  383.38 
2016-07-06 10:45:55	1400.00  383.58 
2016-07-06 10:45:56	1400.00  376.78 
2016-07-06 10:45:57	1400.00  380.78 
2016-07-06 10:45:58	1400.00  378.18 
2016-07-06 10:45:59	1400.00  384.28 
2016-07-06 10:46:00	1400.00  395.88 
2016-07-06 10:46:01	1400.00  386.68 
2016-07-06 10:46:02	1450.00  378.68 
2016-07-06 10:46:03	1450.00  376.68 
2016-07-06 10:46:04	1450.00  401.48 
2016-07-06 10:46:05	1450.00  407.88 
2016-07-06 10:46:06	1450.00  409.68 
2016-07-06 10:46:07	1450.00  407.88 
2016-07-06 10:46:08	1450.00  409.28 
2016-07-06 10:46:10	1450.00  412.38 
2016-07-06 10:46:11	1450.00  406.08 
2016-07-06 10:46:12	1450.00  409.08 
2016-07-06 10:46:13	1450.00  406.68 
2016-07-06 10:46:14	1450.00  407.88 
2016-07-06 10:46:15	1450.00  415.88 
2016-07-06 10:46:16	1450.00  408.48 
2016-07-06 10:46:17	1450.00  408.48 
2016-07-06 10:46:18	1450.00  417.88 
2016-07-06 10:46:19	1450.00  413.08 
2016-07-06 10:46:20	1450.00  417.28 
2016-07-06 10:46:21	1450.00  410.38 
2016-07-06 10:46:22	1450.00  408.48 
2016-07-06 10:46:23	1450.00  410.98 
2016-07-06 10:46:24	1450.00  411.68 
2016-07-06 10:46:26	1450.00  412.38 
2016-07-06 10:46:27	1450.00  412.38 
2016-07-06 10:46:28	1450.00  408.48 
2016-07-06 10:46:29	1450.00  415.88 
2016-07-06 10:46:30	1450.00  409.08 
2016-07-06 10:46:31	1450.00  411.68 
2016-07-06 10:46:32	1450.00  409.78 
2016-07-06 10:46:33	1450.00  410.98 
2016-07-06 10:46:34	1500.00  407.88 
2016-07-06 10:46:35	1500.00  405.48 
2016-07-06 10:46:36	1500.00  413.08 
2016-07-06 10:46:37	1500.00  432.38 
2016-07-06 10:46:38	1500.00  430.98 
2016-07-06 10:46:39	1500.00  435.18 
2016-07-06 10:46:41	1500.00  440.88 
2016-07-06 10:46:42	1500.00  439.68 
2016-07-06 10:46:43	1500.00  437.28 
2016-07-06 10:46:44	1500.00  439.08 
2016-07-06 10:46:45	1500.00  435.18 
2016-07-06 10:46:46	1500.00  440.28 
2016-07-06 10:46:47	1500.00  436.58 
2016-07-06 10:46:48	1500.00  441.48 
2016-07-06 10:46:49	1500.00  434.48 
2016-07-06 10:46:50	1500.00  439.08 
2016-07-06 10:46:51	1500.00  436.58 
2016-07-06 10:46:52	1500.00  437.88 
2016-07-06 10:46:53	1500.00  440.88 
2016-07-06 10:46:54	1500.00  437.28 
2016-07-06 10:46:56	1500.00  431.68 
2016-07-06 10:46:57	1500.00  440.88 
2016-07-06 10:46:58	1500.00  440.28 
2016-07-06 10:46:59	1500.00  442.08 
2016-07-06 10:47:00	1500.00  439.68 
2016-07-06 10:47:01	1500.00  435.18 
2016-07-06 10:47:02	1500.00  437.58 
2016-07-06 10:47:03	1500.00  434.48 
2016-07-06 10:47:04	1500.00  446.18 
2016-07-06 10:47:05	1500.00  435.18 
2016-07-06 10:47:06	1550.00  432.38 
2016-07-06 10:47:07	1550.00  433.78 
2016-07-06 10:47:08	1550.00  441.58 
2016-07-06 10:47:09	1550.00  457.78 
2016-07-06 10:47:11	1550.00  461.88 
2016-07-06 10:47:12	1550.00  467.48 
2016-07-06 10:47:13	1550.00  463.28 
2016-07-06 10:47:14	1550.00  466.78 
2016-07-06 10:47:15	1550.00  461.18 
