xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	k	f	
	 0.56622	 -0.39747	 0.93119	 0.01020	 0.59197	 -0.53055	 0.93473	 -0.58008	 0.00000 	 9999.00000 	 4.68699
	 0.65607	 -0.82140	 0.84833	 0.32798	 0.49602	 0.78821	 0.82524	 -0.33673	 0.00015 	 1400.84394 	 1.34464
	 0.38263	 -0.15022	 0.84703	 0.27544	 0.58888	 0.85806	 0.90359	 -0.36349	 0.00000 	 9999.00000 	 4.68699
	 0.50586	 -0.71928	 0.93331	 0.13292	 0.42905	 0.50221	 0.82648	 -0.11579	 0.00961 	 1345.10930 	 1.32779
	 0.69427	 -0.49043	 0.84550	 0.57801	 0.46314	 0.35421	 0.93025	 -0.18628	 0.00000 	 9999.00000 	 4.68699
	 0.67013	 -0.77279	 0.88527	 0.65369	 0.37855	 -0.28764	 0.86540	 -0.81511	 -0.17404 	 529.34429 	 0.91714
	 0.67013	 -0.77279	 0.89213	 0.65369	 0.37855	 -0.28764	 0.86540	 -0.81677	 -0.17457 	 539.22125 	 0.92071
	 0.40757	 -0.72248	 0.92557	 0.64600	 0.45596	 0.42204	 0.85197	 -0.61026	 0.00000 	 9999.00000 	 4.68699
	 0.69587	 -0.77454	 0.85194	 0.59225	 0.52323	 -0.58376	 0.92737	 -0.18420	 -0.14241 	 541.96315 	 0.93815
	 0.69280	 -0.76104	 0.87773	 0.72196	 0.69515	 0.34417	 0.87479	 -0.37670	 -0.00548 	 1510.65567 	 1.38446
	 0.64296	 -0.75132	 0.85194	 0.57297	 0.46269	 0.75457	 0.93025	 -0.14852	 0.00000 	 9999.00000 	 4.68699
	 0.53817	 -0.62180	 0.86517	 0.00560	 0.62407	 -0.68786	 0.90790	 -0.56803	 -0.14153 	 406.20671 	 0.88583
	 0.60013	 -0.70657	 0.90142	 0.69295	 0.67354	 -0.15637	 0.87099	 -0.88894	 -0.13253 	 590.52440 	 0.96206
	 0.45778	 -0.68289	 0.91063	 0.33612	 0.68745	 -0.15637	 0.87094	 -0.88894	 -0.09432 	 596.20958 	 0.98373
