l_s	l_l	R	T_f	theta	power	
	 0.16822	 0.35678	 0.01977	 409.99724	 -0.27212 	 13.34951
	 0.11916	 0.56359	 0.02418	 394.00900	 -0.17696 	 8.59340
	 0.10003	 0.29980	 0.00840	 407.18548	 -0.09654 	 5.59619
	 0.33340	 0.57930	 0.02909	 406.40681	 -0.39372 	 26.64638
	 0.23874	 0.40729	 0.02418	 412.47872	 -0.33921 	 20.03909
	 0.13278	 0.58251	 0.01903	 402.15358	 -0.22368 	 10.12153
	 0.26418	 0.32028	 0.02344	 411.82100	 -0.34781 	 20.77464
	 0.48171	 0.11714	 0.02957	 405.03157	 -0.45998 	 35.91848
	 0.10032	 0.42595	 0.00621	 412.70427	 -0.06813 	 5.16144
	 0.10172	 0.10370	 0.01880	 396.37073	 -0.17637 	 7.37242
	 0.21476	 0.57501	 0.02428	 397.59197	 -0.27247 	 15.59248
	 0.10682	 0.57968	 0.01861	 397.59197	 -0.18513 	 7.81661
	 0.21458	 0.10370	 0.02404	 402.68137	 -0.29444 	 16.50712
	 0.26385	 0.59336	 0.02745	 401.35058	 -0.32426 	 20.13027
	 0.11585	 0.26272	 0.01743	 405.86135	 -0.21684 	 9.10873
	 0.10186	 0.37444	 0.02430	 412.19762	 -0.15938 	 8.57217
	 0.19415	 0.54117	 0.01966	 394.00900	 -0.22526 	 12.99121
	 0.33340	 0.38162	 0.02898	 406.39834	 -0.39419 	 26.63553
	 0.19449	 0.37388	 0.01988	 412.20590	 -0.28091 	 14.80997
	 0.36836	 0.10261	 0.01952	 402.64414	 -0.30636 	 24.93381
	 0.21748	 0.59152	 0.02756	 405.88622	 -0.28636 	 17.41158
	 0.10071	 0.37392	 0.01727	 413.09543	 -0.20427 	 8.50384
	 0.11585	 0.38106	 0.00630	 303.15458	 -0.00000 	 0.00033
	 0.49328	 0.11714	 0.02957	 405.03157	 -0.46014 	 36.47581
	 0.11396	 0.32618	 0.01735	 303.15458	 0.00000 	 0.00032
	 0.10140	 0.35909	 0.00600	 367.55946	 -0.03746 	 4.16161
	 0.10682	 0.57968	 0.01861	 397.59197	 -0.18513 	 7.81661
	 0.26327	 0.58986	 0.02346	 353.68387	 -0.02973 	 8.47054
	 0.10121	 0.35826	 0.00652	 401.11883	 -0.07287 	 5.29602
	 0.11615	 0.12404	 0.01807	 410.20527	 -0.22215 	 9.58415
	 0.11654	 0.37691	 0.01737	 303.25071	 0.00000 	 0.00720
	 0.10041	 0.35678	 0.01977	 397.53693	 -0.17602 	 7.43498
	 0.16970	 0.57501	 0.01781	 410.05224	 -0.24650 	 12.49316
	 0.10121	 0.36653	 0.01981	 352.64936	 -0.01467 	 3.19625
	 0.16693	 0.35678	 0.00648	 409.99724	 -0.08328 	 8.96386
	 0.10140	 0.38057	 0.01718	 366.70732	 -0.05921 	 4.40924
	 0.11615	 0.38106	 0.00618	 305.02031	 0.00000 	 0.13321
	 0.48171	 0.12591	 0.02957	 405.03157	 -0.45998 	 35.91848
	 0.41514	 0.11713	 0.02957	 405.05699	 -0.44860 	 32.45137
	 0.12031	 0.29736	 0.02737	 406.98167	 -0.16844 	 9.74335
	 0.26531	 0.59662	 0.00849	 405.85737	 -0.12408 	 15.21961
	 0.37126	 0.58104	 0.02740	 405.88622	 -0.41930 	 28.95888
	 0.48963	 0.11714	 0.02960	 405.03157	 -0.46363 	 36.46673
	 0.48963	 0.11714	 0.02960	 337.83938	 -0.00002 	 10.41647
	 0.10486	 0.58084	 0.00472	 404.90646	 -0.04967 	 5.10304
	 0.19449	 0.37391	 0.01738	 413.10135	 -0.24684 	 13.79467
	 0.10071	 0.37445	 0.01966	 412.18997	 -0.18638 	 8.45958
	 0.39324	 0.12590	 0.02938	 405.05699	 -0.43405 	 30.80776
	 0.30143	 0.35905	 0.02968	 402.15379	 -0.35176 	 23.25471
	 0.10381	 0.36640	 0.02345	 411.82100	 -0.16701 	 8.70913
	 0.26331	 0.32042	 0.01980	 352.64936	 -0.02561 	 8.22847
	 0.21656	 0.58176	 0.01778	 375.62790	 -0.12309 	 10.69836
	 0.11976	 0.35265	 0.02418	 412.47872	 -0.18560 	 10.09217
	 0.10486	 0.58084	 0.02460	 332.54045	 0.00000 	 1.89002
	 0.21462	 0.58093	 0.00429	 413.00929	 -0.05275 	 10.80950
	 0.33066	 0.30519	 0.02417	 410.00129	 -0.37088 	 24.86881
	 0.21303	 0.37996	 0.02862	 409.76049	 -0.27415 	 17.58310
	 0.10713	 0.32618	 0.01891	 303.15458	 0.00000 	 0.00030
	 0.11391	 0.32028	 0.01736	 411.82100	 -0.21460 	 8.95082
	 0.13369	 0.11479	 0.02945	 411.60729	 -0.17473 	 11.20918
	 0.41514	 0.33320	 0.01721	 405.27063	 -0.27518 	 26.81500
	 0.13076	 0.12590	 0.01809	 402.14454	 -0.22157 	 9.89610
	 0.25937	 0.58251	 0.02346	 405.06603	 -0.33820 	 20.14384
	 0.23282	 0.57501	 0.01781	 409.82306	 -0.26317 	 16.29486
	 0.10096	 0.36653	 0.01981	 352.79726	 -0.01499 	 3.20046
	 0.10960	 0.12591	 0.02961	 405.03157	 -0.14433 	 8.75440
	 0.47318	 0.56359	 0.02418	 394.00900	 -0.33446 	 30.54670
	 0.10001	 0.57520	 0.02403	 394.00900	 -0.15458 	 7.25436
	 0.10029	 0.56339	 0.01796	 397.59197	 -0.17912 	 7.33189
	 0.31838	 0.23934	 0.02908	 406.05804	 -0.37963 	 25.40198
	 0.42002	 0.11715	 0.02957	 405.05699	 -0.45169 	 32.80812
	 0.48171	 0.12591	 0.02957	 406.96097	 -0.46279 	 36.04988
	 0.12031	 0.29980	 0.00840	 405.05227	 -0.10319 	 6.79713
	 0.31195	 0.57646	 0.02993	 402.15379	 -0.35959 	 24.05270
	 0.16970	 0.36144	 0.01713	 410.05224	 -0.23688 	 12.23154
	 0.32325	 0.30429	 0.01753	 304.23586	 -0.00000 	 0.21523
	 0.11396	 0.32618	 0.02890	 406.72020	 -0.15292 	 9.21767
	 0.10079	 0.11935	 0.00596	 367.55946	 -0.03723 	 4.13597
	 0.48851	 0.35706	 0.02892	 405.03157	 -0.45331 	 35.97532
	 0.33340	 0.38162	 0.02898	 406.39834	 -0.39419 	 26.63553
	 0.26418	 0.32374	 0.02344	 411.82100	 -0.34781 	 20.77464
	 0.10033	 0.42606	 0.00615	 364.79140	 -0.03295 	 3.92944
	 0.10139	 0.38046	 0.01724	 412.96066	 -0.20562 	 8.55222
	 0.17131	 0.35678	 0.01977	 409.99724	 -0.27308 	 13.50195
	 0.10014	 0.57520	 0.02403	 394.00900	 -0.15474 	 7.26356
	 0.10029	 0.57276	 0.01781	 397.59197	 -0.17919 	 7.32164
	 0.33066	 0.30735	 0.02862	 409.66901	 -0.40033 	 27.16941
	 0.26327	 0.58251	 0.00630	 402.15358	 -0.08823 	 14.35208
	 0.10032	 0.42595	 0.02338	 412.70427	 -0.16223 	 8.47115
	 0.21303	 0.35895	 0.02444	 409.76049	 -0.30559 	 17.53672
	 0.30497	 0.38007	 0.02941	 402.15379	 -0.35556 	 23.49214
	 0.48960	 0.11714	 0.02957	 405.03157	 -0.46338 	 36.45562
	 0.37129	 0.58104	 0.02743	 405.88622	 -0.41940 	 28.96724
	 0.19450	 0.34477	 0.01978	 407.21835	 -0.28099 	 14.81630
	 0.12030	 0.30142	 0.00840	 411.96086	 -0.10249 	 6.77083
	 0.26418	 0.32028	 0.02344	 411.82100	 -0.34781 	 20.77464
	 0.21458	 0.11049	 0.01965	 402.64414	 -0.28399 	 15.91346
	 0.10369	 0.35363	 0.01778	 385.96064	 -0.13828 	 6.40957
	 0.10713	 0.32618	 0.01891	 305.76538	 0.00000 	 0.17180
	 0.33066	 0.30769	 0.02960	 410.06137	 -0.39335 	 27.29081
	 0.42002	 0.10440	 0.02834	 404.99691	 -0.43654 	 31.96121
	 0.26418	 0.32028	 0.02363	 411.82100	 -0.35061 	 20.92444
	 0.48171	 0.12591	 0.02938	 408.37635	 -0.45934 	 35.89233
	 0.23874	 0.41743	 0.02545	 412.47872	 -0.32914 	 20.06584
	 0.30143	 0.35905	 0.02968	 402.15379	 -0.35176 	 23.25471
	 0.10740	 0.30429	 0.02908	 406.26144	 -0.14383 	 8.65861
	 0.31935	 0.57520	 0.02403	 393.80561	 -0.29417 	 21.23483
	 0.31413	 0.57501	 0.01781	 409.88840	 -0.27388 	 21.04895
	 0.16753	 0.35905	 0.02968	 402.31763	 -0.21380 	 13.07809
	 0.38240	 0.10177	 0.02927	 412.70711	 -0.44673 	 31.72463
	 0.21458	 0.11049	 0.01965	 402.64414	 -0.28399 	 15.91346
	 0.10140	 0.38057	 0.01726	 366.70732	 -0.05926 	 4.41140
	 0.13369	 0.34426	 0.01884	 411.82100	 -0.24392 	 11.16585
	 0.16928	 0.58412	 0.02346	 402.19754	 -0.25113 	 13.07582
	 0.26370	 0.57501	 0.01884	 410.00827	 -0.28291 	 18.49649
	 0.10713	 0.32618	 0.02425	 307.23580	 0.00000 	 0.26840
	 0.33066	 0.30519	 0.01884	 407.17782	 -0.29277 	 22.48108
	 0.12585	 0.35678	 0.01977	 409.74721	 -0.22472 	 10.36501
	 0.48963	 0.11714	 0.02960	 405.28160	 -0.46108 	 36.34398
	 0.12685	 0.29296	 0.01809	 405.05699	 -0.22706 	 9.93771
	 0.12031	 0.13274	 0.00816	 406.98167	 -0.09969 	 6.73591
	 0.37426	 0.58104	 0.02805	 345.37511	 -0.00625 	 9.76703
	 0.10453	 0.58084	 0.00405	 398.49526	 -0.04086 	 4.93065
	 0.10486	 0.42570	 0.00472	 413.13754	 -0.04981 	 5.10593
	 0.10032	 0.58107	 0.00621	 327.70191	 0.00000 	 1.51039
	 0.10139	 0.42595	 0.02345	 412.70427	 -0.16341 	 8.56155
	 0.16906	 0.58412	 0.00623	 402.19754	 -0.07933 	 8.99499
	 0.21694	 0.58348	 0.01858	 375.62790	 -0.12590 	 10.77577
	 0.10492	 0.35189	 0.02418	 412.47872	 -0.16449 	 8.84640
	 0.10034	 0.35363	 0.00634	 364.80930	 -0.03367 	 3.93501
	 0.10033	 0.42606	 0.01759	 375.60999	 -0.09394 	 5.21062
	 0.10071	 0.37445	 0.01966	 405.96119	 -0.18586 	 8.06855
	 0.37126	 0.58104	 0.02740	 412.11471	 -0.42038 	 29.00491
	 0.42002	 0.58440	 0.02926	 408.61415	 -0.45018 	 32.68692
	 0.10486	 0.12023	 0.00523	 336.06916	 0.00000 	 2.11697
	 0.10122	 0.11049	 0.01951	 365.19769	 -0.05436 	 4.31867
	 0.22929	 0.42606	 0.00629	 402.23781	 -0.08528 	 12.37920
	 0.38433	 0.36867	 0.01837	 410.03469	 -0.29311 	 25.54414
	 0.13588	 0.11613	 0.02955	 373.94076	 -0.10587 	 7.26453
	 0.47834	 0.12797	 0.02991	 404.23463	 -0.46276 	 35.88144
	 0.11752	 0.34843	 0.00472	 368.35618	 -0.03290 	 4.84576
	 0.21303	 0.37996	 0.02418	 409.76049	 -0.30749 	 17.52980
	 0.39324	 0.12590	 0.02938	 405.05699	 -0.43405 	 30.80776
	 0.12685	 0.29296	 0.01806	 409.94217	 -0.23128 	 10.10542
	 0.33066	 0.33292	 0.02865	 405.11610	 -0.38906 	 26.06948
	 0.32356	 0.29908	 0.01741	 409.66901	 -0.27005 	 21.50307
	 0.33036	 0.30417	 0.02873	 304.23586	 0.00000 	 0.21995
	 0.10446	 0.34428	 0.01884	 411.82100	 -0.19845 	 8.74572
	 0.13292	 0.35360	 0.01777	 385.96064	 -0.15232 	 8.03526
	 0.10583	 0.38034	 0.01966	 412.18997	 -0.19467 	 8.88756
	 0.26013	 0.57653	 0.02346	 402.15358	 -0.32287 	 19.52950
	 0.26421	 0.58608	 0.02924	 402.15358	 -0.32055 	 20.45598
	 0.38146	 0.10177	 0.02355	 412.70711	 -0.36653 	 27.34371
	 0.12685	 0.29320	 0.01809	 405.05699	 -0.22706 	 9.93771
	 0.10713	 0.32594	 0.01891	 303.15258	 0.00000 	 0.00017
	 0.41493	 0.12611	 0.02957	 408.08476	 -0.45374 	 32.75135
	 0.48171	 0.11696	 0.02938	 405.34858	 -0.45682 	 35.77609
	 0.33066	 0.30519	 0.02871	 410.00170	 -0.40009 	 27.24794
	 0.16470	 0.57501	 0.01771	 405.79058	 -0.24145 	 12.09659
	 0.11005	 0.32391	 0.01910	 410.93867	 -0.20554 	 9.15195
	 0.21020	 0.38223	 0.02399	 303.15458	 0.00000 	 0.00059
	 0.10369	 0.11619	 0.02979	 385.96064	 -0.12843 	 6.95618
	 0.48963	 0.35482	 0.01743	 405.03157	 -0.28430 	 31.29056
	 0.21458	 0.11049	 0.01965	 402.64414	 -0.28399 	 15.91346
	 0.10686	 0.35844	 0.01858	 375.62790	 -0.09772 	 5.57346
	 0.10096	 0.36638	 0.01981	 375.67392	 -0.09657 	 5.34820
	 0.10686	 0.35858	 0.01858	 352.75125	 -0.01572 	 3.37647
	 0.13340	 0.41719	 0.01884	 411.82100	 -0.24350 	 11.14189
	 0.10093	 0.34497	 0.00621	 412.70427	 -0.06818 	 5.19191
	 0.48171	 0.11696	 0.02938	 412.73800	 -0.45655 	 35.74718
	 0.33066	 0.33292	 0.02865	 405.11610	 -0.38906 	 26.06948
	 0.33309	 0.30477	 0.02882	 410.00129	 -0.40165 	 27.44948
	 0.15025	 0.29339	 0.01788	 405.05699	 -0.23932 	 11.32955
	 0.11032	 0.31999	 0.02359	 303.72856	 0.00000 	 0.03914
	 0.26129	 0.32623	 0.01891	 412.14255	 -0.28462 	 18.42049
	 0.37126	 0.58110	 0.02740	 405.80466	 -0.41880 	 28.93278
	 0.10029	 0.57495	 0.01409	 405.28341	 -0.16718 	 6.91031
	 0.21458	 0.59984	 0.01896	 402.64414	 -0.27416 	 15.60744
	 0.24886	 0.10007	 0.02487	 412.47872	 -0.34541 	 20.89616
	 0.32824	 0.32594	 0.01891	 402.53684	 -0.29438 	 22.40765
	 0.11031	 0.33292	 0.02624	 307.24877	 0.00000 	 0.27724
	 0.10369	 0.30331	 0.01778	 385.96064	 -0.13828 	 6.40957
	 0.33066	 0.35551	 0.02862	 410.00129	 -0.40076 	 27.24393
	 0.47300	 0.11714	 0.02603	 407.14182	 -0.41105 	 33.65237
	 0.19607	 0.58093	 0.02959	 412.47872	 -0.24773 	 16.52052
	 0.37902	 0.10004	 0.02868	 405.82751	 -0.42839 	 29.89278
	 0.12149	 0.35678	 0.01977	 409.99724	 -0.21824 	 10.02909
	 0.11005	 0.32276	 0.02403	 410.92297	 -0.17267 	 9.17164
	 0.22321	 0.42138	 0.01924	 412.49441	 -0.28201 	 16.29638
	 0.31323	 0.12611	 0.02957	 408.33361	 -0.37489 	 25.51620
	 0.41365	 0.35905	 0.02968	 401.90494	 -0.42676 	 31.22389
	 0.35119	 0.58259	 0.02442	 406.24476	 -0.37453 	 26.03519
	 0.10031	 0.30307	 0.00538	 337.23519	 -0.00000 	 2.09688
	 0.37126	 0.58104	 0.02740	 405.81614	 -0.41887 	 28.93646
	 0.38240	 0.12136	 0.02927	 412.76452	 -0.44682 	 31.73949
	 0.19403	 0.10392	 0.02783	 402.24511	 -0.25587 	 15.09846
	 0.36925	 0.58725	 0.02368	 405.77994	 -0.36786 	 26.75725
	 0.21303	 0.37996	 0.02398	 406.02905	 -0.30306 	 16.95689
	 0.32325	 0.30429	 0.02908	 409.78948	 -0.38984 	 26.61477
	 0.41372	 0.12611	 0.02957	 408.08476	 -0.45293 	 32.66097
	 0.17253	 0.35678	 0.01977	 409.99724	 -0.27218 	 13.51225
	 0.12236	 0.14784	 0.02960	 405.04397	 -0.16014 	 9.77059
	 0.50175	 0.34426	 0.01884	 412.63824	 -0.30733 	 32.49179
	 0.21462	 0.58093	 0.02884	 412.47872	 -0.27441 	 18.07274
	 0.33309	 0.29059	 0.02416	 410.00129	 -0.36806 	 24.87075
	 0.41493	 0.12611	 0.02960	 408.08476	 -0.45375 	 32.75564
	 0.48963	 0.11714	 0.02959	 405.03157	 -0.46354 	 36.46317
	 0.16965	 0.57495	 0.01411	 405.28341	 -0.19564 	 11.24299
	 0.10283	 0.34767	 0.01976	 395.08152	 -0.17268 	 7.38508
	 0.49867	 0.10183	 0.02927	 412.70667	 -0.45713 	 36.60039
	 0.38240	 0.11690	 0.02945	 412.73843	 -0.44746 	 32.16616
	 0.37902	 0.10004	 0.02868	 405.82751	 -0.42839 	 29.89230
	 0.48963	 0.11714	 0.02960	 379.86996	 -0.24647 	 26.50750
	 0.23874	 0.39306	 0.02418	 411.80970	 -0.33862 	 19.93260
	 0.10446	 0.34428	 0.01884	 412.49002	 -0.19848 	 8.78894
	 0.10713	 0.32594	 0.01891	 303.15258	 0.00000 	 0.00017
	 0.26418	 0.32028	 0.02363	 411.82100	 -0.35061 	 20.92444
	 0.32581	 0.35909	 0.00600	 367.55946	 -0.04206 	 13.20065
	 0.10878	 0.30519	 0.02417	 410.00129	 -0.17004 	 9.00547
	 0.21436	 0.59984	 0.02973	 402.64414	 -0.26697 	 16.74858
	 0.31217	 0.35905	 0.01883	 402.15379	 -0.29096 	 21.41558
	 0.21335	 0.57517	 0.01403	 405.22819	 -0.20431 	 13.88114
	 0.10308	 0.59934	 0.01902	 402.69936	 -0.19078 	 8.01097
	 0.48171	 0.11696	 0.02938	 412.73800	 -0.45655 	 35.74718
	 0.21303	 0.37996	 0.02398	 406.02905	 -0.30306 	 16.95689
	 0.10369	 0.35363	 0.00612	 386.38918	 -0.06802 	 5.35091
	 0.13722	 0.43377	 0.01787	 412.09870	 -0.23292 	 10.52773
	 0.37126	 0.58079	 0.01832	 405.80466	 -0.28933 	 24.67965
	 0.11731	 0.35864	 0.02766	 375.62790	 -0.10516 	 6.48772
	 0.17131	 0.57460	 0.02341	 409.79480	 -0.26149 	 14.12453
	 0.26013	 0.35867	 0.01983	 402.35601	 -0.29635 	 18.69439
	 0.38240	 0.10062	 0.02927	 405.97085	 -0.43104 	 30.27523
	 0.37902	 0.10175	 0.02868	 412.55748	 -0.43887 	 30.59527
	 0.10713	 0.32530	 0.01891	 303.15130	 0.00000 	 0.00009
	 0.40821	 0.10384	 0.02868	 405.82751	 -0.44103 	 31.68384
	 0.10369	 0.56608	 0.01729	 385.98164	 -0.13742 	 6.37728
	 0.26013	 0.36403	 0.02360	 402.13257	 -0.32320 	 19.54567
	 0.10914	 0.27669	 0.02114	 410.93867	 -0.18953 	 9.08703
	 0.12776	 0.29296	 0.01910	 409.94217	 -0.23227 	 10.52411
	 0.30646	 0.35909	 0.00459	 366.27818	 -0.03099 	 12.12787
	 0.10126	 0.35905	 0.02994	 403.43496	 -0.13262 	 7.99131
	 0.10831	 0.35844	 0.01858	 375.62790	 -0.09828 	 5.64370
	 0.37902	 0.10004	 0.02868	 405.82751	 -0.42839 	 29.89278
	 0.14939	 0.30519	 0.02417	 410.00129	 -0.22640 	 12.35062
	 0.33335	 0.41719	 0.01884	 411.82100	 -0.29279 	 22.62133
	 0.10029	 0.57466	 0.01409	 405.28341	 -0.16718 	 6.91031
	 0.10308	 0.59944	 0.01902	 402.69936	 -0.19078 	 8.01097
	 0.10853	 0.35680	 0.01977	 409.99724	 -0.19809 	 8.96656
	 0.16993	 0.32529	 0.01891	 303.15130	 0.00000 	 0.00014
	 0.48963	 0.11714	 0.02671	 405.03157	 -0.42352 	 34.96177
	 0.21303	 0.41396	 0.02398	 406.02905	 -0.30306 	 16.95689
	 0.10309	 0.57524	 0.02265	 402.69936	 -0.17038 	 8.06617
	 0.10028	 0.59895	 0.01203	 405.28341	 -0.14217 	 6.39667
	 0.10713	 0.32530	 0.01891	 303.15130	 0.00000 	 0.00009
	 0.12685	 0.29296	 0.01809	 405.05699	 -0.22706 	 9.93774
	 0.30143	 0.32417	 0.02968	 402.42311	 -0.35258 	 23.31767
	 0.26418	 0.36153	 0.02363	 411.55102	 -0.34943 	 20.86699
	 0.16928	 0.46978	 0.02307	 412.90373	 -0.26175 	 14.28309
	 0.10032	 0.56536	 0.00660	 401.89096	 -0.07382 	 5.26468
	 0.10121	 0.36653	 0.00757	 352.64936	 -0.01389 	 3.13244
	 0.21462	 0.58093	 0.02418	 412.47872	 -0.31078 	 18.03662
	 0.22384	 0.29928	 0.02418	 412.47872	 -0.32189 	 18.80451
	 0.32792	 0.58603	 0.02417	 410.00129	 -0.36963 	 24.68069
	 0.33164	 0.58712	 0.02746	 405.80466	 -0.39483 	 26.18424
	 0.37271	 0.30477	 0.02882	 410.00129	 -0.43864 	 30.63711
	 0.40418	 0.12247	 0.02960	 409.92095	 -0.45229 	 32.36280
	 0.18207	 0.36053	 0.01977	 408.16105	 -0.27678 	 14.09167
	 0.10033	 0.42606	 0.01759	 375.60999	 -0.09394 	 5.21062
	 0.21884	 0.59984	 0.01896	 402.64414	 -0.27596 	 15.88899
	 0.10585	 0.34006	 0.02908	 409.78948	 -0.14187 	 8.76335
	 0.32258	 0.56608	 0.01662	 385.98164	 -0.18654 	 18.09317
	 0.41486	 0.30429	 0.02908	 409.81984	 -0.44727 	 32.30761
	 0.32332	 0.19822	 0.02960	 408.05440	 -0.38438 	 26.26584
	 0.47957	 0.30437	 0.02938	 412.73800	 -0.45564 	 35.60138
	 0.33524	 0.11742	 0.02882	 410.00129	 -0.40375 	 27.62316
	 0.48963	 0.11714	 0.02960	 385.94507	 -0.30576 	 29.21437
	 0.10369	 0.56608	 0.01729	 405.06814	 -0.20205 	 8.17254
	 0.21458	 0.59984	 0.01896	 402.64414	 -0.27416 	 15.60744
	 0.30143	 0.35905	 0.02968	 402.15379	 -0.35176 	 23.25471
	 0.10486	 0.32752	 0.00472	 337.23519	 -0.00000 	 2.19197
	 0.11005	 0.57707	 0.01910	 412.64634	 -0.20567 	 9.26877
	 0.26418	 0.35882	 0.00496	 411.82100	 -0.06623 	 13.84398
	 0.10140	 0.32056	 0.02466	 367.55946	 -0.06351 	 4.68286
	 0.10713	 0.32530	 0.01891	 410.62807	 -0.20220 	 8.88881
	 0.41756	 0.27796	 0.02981	 303.91274	 0.00000 	 0.19528
	 0.22384	 0.33008	 0.02418	 397.82253	 -0.27930 	 16.23003
	 0.13494	 0.54412	 0.01781	 412.21900	 -0.23132 	 10.37321
	 0.10831	 0.35844	 0.01858	 375.62790	 -0.09828 	 5.64370
	 0.10369	 0.56608	 0.01729	 385.98164	 -0.13742 	 6.37728
	 0.11466	 0.29651	 0.01829	 405.05699	 -0.21262 	 9.04427
	 0.48963	 0.11377	 0.02958	 405.03157	 -0.46349 	 36.46116
	 0.10713	 0.32530	 0.01910	 303.15130	 0.00000 	 0.00009
	 0.11005	 0.57707	 0.01891	 412.64634	 -0.20708 	 9.26777
	 0.10140	 0.32056	 0.02466	 367.55946	 -0.06351 	 4.68286
	 0.10486	 0.58084	 0.00472	 342.94513	 -0.00145 	 2.56479
	 0.18464	 0.36053	 0.01809	 408.15406	 -0.25526 	 13.50681
	 0.12428	 0.29296	 0.01977	 403.92907	 -0.21705 	 9.73449
	 0.10713	 0.32530	 0.01891	 304.67840	 0.00000 	 0.10040
	 0.37902	 0.10175	 0.02868	 411.49804	 -0.43701 	 30.45634
	 0.49052	 0.40284	 0.02411	 412.73800	 -0.38653 	 33.87153
	 0.22779	 0.30881	 0.02945	 412.47872	 -0.28495 	 19.18104
	 0.33066	 0.29138	 0.02444	 410.00129	 -0.37254 	 24.92557
	 0.10369	 0.57948	 0.01702	 385.98164	 -0.13683 	 6.35812
	 0.12775	 0.41719	 0.01884	 411.82100	 -0.23513 	 10.67730
	 0.33731	 0.58712	 0.02746	 405.80466	 -0.39901 	 26.60660
	 0.10006	 0.57466	 0.01409	 405.28341	 -0.16705 	 6.89596
	 0.10713	 0.32530	 0.01891	 303.15130	 0.00000 	 0.00009
	 0.38163	 0.58412	 0.02346	 401.64454	 -0.36580 	 27.35394
	 0.16667	 0.10175	 0.02868	 412.95015	 -0.21885 	 14.09699
	 0.10140	 0.36233	 0.00600	 367.55946	 -0.03746 	 4.16161
	 0.37126	 0.57776	 0.02740	 405.80466	 -0.41880 	 28.93278
	 0.37902	 0.10036	 0.02406	 405.82751	 -0.37482 	 27.50765
	 0.21303	 0.39583	 0.02859	 406.02905	 -0.27405 	 17.09080
	 0.21303	 0.37996	 0.02398	 406.02905	 -0.30306 	 16.95689
	 0.21303	 0.37996	 0.02398	 406.02905	 -0.30306 	 16.95689
	 0.16970	 0.57501	 0.01781	 405.88404	 -0.24527 	 12.45898
	 0.37126	 0.58110	 0.02639	 409.97286	 -0.40666 	 28.32044
	 0.33806	 0.58538	 0.02757	 406.21267	 -0.40135 	 26.79007
	 0.42138	 0.30555	 0.02927	 412.32295	 -0.44929 	 32.68544
	 0.33066	 0.30062	 0.02966	 410.00129	 -0.39285 	 27.27950
	 0.48963	 0.12177	 0.02406	 405.03157	 -0.38463 	 33.76522
	 0.10831	 0.46213	 0.01965	 375.62790	 -0.09938 	 5.69435
	 0.16928	 0.58412	 0.02346	 402.19754	 -0.25113 	 13.07582
	 0.47957	 0.30437	 0.02943	 412.60123	 -0.45983 	 35.80263
	 0.30143	 0.35905	 0.02963	 402.26365	 -0.35228 	 23.27642
	 0.26418	 0.32028	 0.02954	 407.89362	 -0.32407 	 21.48245
	 0.41493	 0.12611	 0.02368	 412.01213	 -0.37241 	 29.32977
	 0.10403	 0.57948	 0.01702	 385.98164	 -0.13701 	 6.37715
	 0.13306	 0.41718	 0.01876	 411.82100	 -0.24353 	 11.11243
	 0.32690	 0.11714	 0.02961	 405.07318	 -0.38222 	 25.86036
	 0.49339	 0.29138	 0.02444	 409.95967	 -0.39311 	 34.25417
	 0.10966	 0.58712	 0.02340	 367.51287	 -0.06640 	 5.00523
	 0.32591	 0.32056	 0.02754	 405.17219	 -0.38771 	 25.59927
	 0.10504	 0.40729	 0.02418	 411.71029	 -0.16465 	 8.80672
	 0.23662	 0.32530	 0.01891	 303.15130	 0.00000 	 0.00019
	 0.48963	 0.11714	 0.02946	 404.50695	 -0.45785 	 36.20041
	 0.10033	 0.42606	 0.01822	 376.13458	 -0.09681 	 5.29054
	 0.22492	 0.36324	 0.00600	 367.17518	 -0.04021 	 9.08095
	 0.10170	 0.32917	 0.02418	 398.20681	 -0.15912 	 7.67597
	 0.10713	 0.32523	 0.01891	 398.33412	 -0.18725 	 7.92660
	 0.16753	 0.33016	 0.02418	 304.28073	 0.00000 	 0.11615
	 0.10686	 0.32398	 0.01860	 352.75125	 -0.01572 	 3.37655
	 0.10713	 0.35990	 0.01889	 303.15130	 0.00000 	 0.00009
	 0.22511	 0.29916	 0.01910	 410.67815	 -0.27859 	 16.28705
	 0.10612	 0.32542	 0.02399	 303.15130	 0.00000 	 0.00008
	 0.14974	 0.37231	 0.02095	 408.16105	 -0.24933 	 12.16579
	 0.37902	 0.10052	 0.02750	 407.29321	 -0.42315 	 29.48114
	 0.32831	 0.28680	 0.02452	 410.39903	 -0.37446 	 24.89042
	 0.11127	 0.49870	 0.01957	 375.20193	 -0.09865 	 5.78754
	 0.17062	 0.35678	 0.01977	 409.99724	 -0.27248 	 13.45104
	 0.10249	 0.32056	 0.02466	 367.55946	 -0.06391 	 4.73066
	 0.41486	 0.30429	 0.02908	 409.81984	 -0.44727 	 32.30761
	 0.10140	 0.42051	 0.00600	 367.55946	 -0.03746 	 4.16161
	 0.10033	 0.43060	 0.01759	 375.60999	 -0.09394 	 5.21062
	 0.28157	 0.29928	 0.02418	 412.47872	 -0.36120 	 22.17224
	 0.37701	 0.10004	 0.02371	 405.93452	 -0.36771 	 27.15003
	 0.26618	 0.32028	 0.02860	 411.71395	 -0.33425 	 22.26805
	 0.48631	 0.46213	 0.01965	 379.67555	 -0.18590 	 24.82632
	 0.10607	 0.30437	 0.02938	 408.43106	 -0.14086 	 8.69400
