l_s	l_l	R	T_f	theta	power	
	 0.10197	 0.53802	 0.02427	 397.59197	 -0.15880 	 7.65552
	 0.13983	 0.28926	 0.02520	 371.75803	 -0.09659 	 6.95642
	 0.19873	 0.34387	 0.02439	 370.66403	 -0.10713 	 9.40441
	 0.13983	 0.28923	 0.00691	 370.00776	 -0.04872 	 5.97236
	 0.21831	 0.37431	 0.02017	 412.01342	 -0.29201 	 16.36105
	 0.20889	 0.35909	 0.02044	 399.40750	 -0.26742 	 15.03762
	 0.34065	 0.30803	 0.02533	 303.57242	 0.00000 	 0.08823
	 0.10577	 0.58074	 0.01715	 404.50265	 -0.20381 	 8.27183
	 0.11369	 0.55263	 0.01715	 304.46033	 0.00000 	 0.09134
	 0.56560	 0.36730	 0.02196	 406.77893	 -0.35796 	 37.25060
	 0.10528	 0.53300	 0.02936	 404.01746	 -0.13995 	 8.34415
	 0.34155	 0.30410	 0.01277	 304.46033	 0.00000 	 0.27442
	 0.16723	 0.52290	 0.01715	 304.46033	 0.00000 	 0.13436
	 0.10708	 0.17765	 0.02995	 413.14882	 -0.13976 	 9.08769
	 0.59661	 0.53802	 0.02377	 399.36310	 -0.38643 	 39.67850
	 0.10294	 0.48612	 0.02520	 402.21184	 -0.15611 	 8.03439
	 0.59550	 0.36444	 0.02321	 402.21585	 -0.38173 	 39.59925
	 0.21242	 0.33217	 0.02376	 403.22871	 -0.29495 	 16.42201
	 0.22036	 0.36346	 0.01639	 400.20176	 -0.24016 	 15.08034
	 0.33934	 0.30599	 0.02936	 402.13505	 -0.38159 	 25.98083
	 0.13414	 0.51198	 0.00396	 374.12833	 -0.03628 	 6.02380
	 0.13414	 0.46674	 0.00396	 374.12833	 -0.03628 	 6.02380
	 0.57013	 0.36730	 0.02196	 403.22008	 -0.36085 	 37.66157
	 0.21620	 0.38106	 0.01801	 303.15458	 0.00000 	 0.00061
	 0.32072	 0.33232	 0.02344	 402.94140	 -0.35743 	 23.86515
	 0.22036	 0.36346	 0.01639	 390.01967	 -0.19093 	 13.36951
	 0.11808	 0.24265	 0.02995	 412.56008	 -0.15329 	 9.97547
	 0.15326	 0.28893	 0.02426	 366.79138	 -0.07573 	 6.79040
	 0.59668	 0.48612	 0.02377	 402.21184	 -0.38935 	 39.83243
	 0.12076	 0.19698	 0.01521	 369.94210	 -0.07378 	 5.47345
