xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.56787	 -0.41565	 0.88198	 0.77286	 411.51605	 0.00000 	 0.00000
	 0.70965	 -0.40323	 0.88198	 0.77286	 406.69952	 -0.24485 	 12.62344
	 0.50456	 -0.51026	 0.79376	 0.11237	 381.67551	 -0.01765 	 14.38637
	 0.70136	 -0.34710	 0.94517	 0.15222	 404.83924	 -0.30781 	 17.67286
	 0.70235	 -0.49740	 0.92663	 0.14988	 387.93445	 -0.19392 	 13.30704
	 0.61561	 -0.58184	 0.92881	 0.49088	 404.28183	 -0.24991 	 18.86402
	 0.70833	 -0.41576	 0.88198	 0.77286	 403.19249	 -0.22566 	 12.20806
	 0.46780	 -0.45500	 0.92884	 0.73187	 310.19927	 -0.00000 	 1.99795
	 0.71189	 -0.51293	 0.93078	 0.53953	 404.75621	 -0.30643 	 16.42892
	 0.71284	 -0.43054	 0.90275	 0.37636	 308.39258	 0.00000 	 0.61407
	 0.57338	 -0.87973	 0.83780	 0.28422	 336.49701	 -0.00000 	 5.49669
	 0.58477	 -0.87973	 0.83780	 0.28422	 336.49701	 -0.00000 	 5.26481
	 0.58474	 -0.87973	 0.83780	 0.28422	 336.49701	 -0.00000 	 5.26534
	 0.57385	 -0.87973	 0.83780	 0.28422	 336.49701	 -0.00000 	 5.48727
	 0.60043	 -0.80996	 0.95440	 0.61735	 411.75612	 -0.14190 	 16.69695
	 0.71077	 -0.42132	 0.88198	 0.77286	 406.63352	 -0.25107 	 12.63477
	 0.56821	 -0.36681	 0.88147	 0.77286	 411.51605	 0.00000 	 0.00000
	 0.46780	 -0.50962	 0.92884	 0.72765	 310.19927	 -0.00000 	 1.99890
	 0.71452	 -0.56882	 0.78063	 0.58586	 317.54197	 0.00000 	 0.00000
	 0.72251	 -0.51708	 0.93051	 0.14713	 403.00072	 -0.28079 	 15.23860
	 0.70610	 -0.51611	 0.93078	 0.15222	 404.75621	 -0.31637 	 17.00311
	 0.72251	 -0.51611	 0.93051	 0.15781	 403.00072	 -0.28061 	 15.23313
	 0.73488	 -0.51611	 0.88895	 0.66375	 398.68313	 -0.21162 	 10.75040
	 0.71189	 -0.51293	 0.92140	 0.53953	 396.91504	 -0.24381 	 14.14533
	 0.69847	 -0.42667	 0.90275	 0.35109	 403.96485	 -0.28744 	 14.92356
	 0.70623	 -0.41672	 0.88198	 0.07980	 311.11442	 0.00000 	 0.86201
	 0.73991	 -0.56960	 0.76298	 0.46693	 372.32012	 -0.02074 	 1.75294
	 0.56821	 -0.36681	 0.88147	 0.77286	 411.51605	 0.00000 	 0.00000
	 0.70304	 -0.50934	 0.87285	 0.79384	 403.21397	 -0.24632 	 12.28520
	 0.73829	 -0.42253	 0.94865	 0.13133	 404.73473	 -0.24652 	 14.99470
	 0.56821	 -0.46772	 0.88198	 0.75583	 411.51605	 -0.25895 	 23.09274
	 0.72867	 -0.39994	 0.82610	 0.79042	 400.77088	 -0.13341 	 6.73695
	 0.70569	 -0.46507	 0.93041	 0.15222	 406.89099	 -0.32773 	 17.26171
	 0.56821	 -0.38805	 0.87688	 0.77286	 411.51605	 0.00000 	 0.00000
	 0.70833	 -0.41576	 0.82608	 0.77286	 403.40738	 -0.09474 	 7.96126
	 0.73472	 -0.46726	 0.88202	 0.79074	 392.65639	 -0.16849 	 9.35508
	 0.73991	 -0.56960	 0.76298	 0.46060	 370.22644	 -0.01932 	 1.69082
	 0.73488	 -0.51611	 0.88406	 0.63316	 398.68313	 -0.20910 	 10.43381
	 0.70610	 -0.51611	 0.92919	 0.15221	 404.75621	 -0.31527 	 16.88520
	 0.70569	 -0.46507	 0.94928	 0.15234	 406.89099	 -0.34102 	 18.68801
	 0.72889	 -0.40323	 0.88198	 0.77029	 405.03353	 -0.21755 	 11.07273
	 0.70985	 -0.51557	 0.82647	 0.77139	 400.77088	 -0.14467 	 7.99730
	 0.70602	 -0.49740	 0.82310	 0.13250	 404.75621	 -0.21707 	 8.76212
