xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	
	 0.74106	 -0.60196	 0.91288	 0.31282	 0.49926	 0.70454	 0.86423	 -0.87656	 0.00000
	 0.74106	 -0.56581	 0.79472	 0.31282	 0.49537	 0.70899	 0.97155	 -0.04314	 -0.24379
	 0.55498	 -0.62180	 0.85465	 0.00560	 0.65856	 -0.74786	 0.93455	 -0.52350	 -0.14452
	 0.63337	 -0.58649	 0.90903	 0.32458	 0.57724	 0.70899	 0.97030	 -0.85593	 0.00950
	 0.73773	 -0.70657	 0.80297	 0.34573	 0.50490	 -0.01983	 0.88365	 -0.08033	 0.00000
	 0.38172	 -0.73658	 0.85402	 0.40056	 0.39692	 -0.85226	 0.81635	 -0.08603	 0.00000
	 0.54493	 -0.76650	 0.95483	 0.45945	 0.65542	 -0.50278	 0.95633	 -0.41906	 -0.13358
	 0.47707	 -0.62180	 0.99457	 0.06636	 0.61186	 -0.74786	 0.95220	 -0.52350	 -0.11053
	 0.56411	 -0.84531	 0.85494	 0.37315	 0.52132	 0.22812	 0.77802	 -0.87976	 -0.28875
	 0.54493	 -0.76944	 0.95590	 0.45945	 0.62196	 -0.38659	 0.95396	 -0.58083	 -0.13380
	 0.59270	 -0.39747	 0.96047	 0.00639	 0.66401	 -0.50925	 0.82218	 -0.41718	 -0.20744
	 0.42164	 -0.77660	 0.95591	 0.45082	 0.55654	 -0.73182	 0.81038	 -0.53917	 -0.05208
	 0.54206	 -0.76941	 0.94499	 0.66565	 0.66396	 -0.50759	 0.82173	 -0.41906	 -0.13570
	 0.68069	 -0.68186	 0.87937	 0.71953	 0.73555	 0.80629	 0.87467	 -0.37670	 -0.40438
	 0.56820	 -0.60509	 0.96534	 0.32414	 0.62874	 -0.74392	 0.91858	 -0.18587	 -0.15555
	 0.67855	 -0.75098	 0.87937	 0.71927	 0.73948	 0.74456	 0.85929	 -0.37670	 -0.36072
	 0.71100	 -0.77279	 0.90240	 0.65395	 0.37904	 -0.28764	 0.87503	 -0.81677	 -0.17561
	 0.58573	 -0.43612	 0.98879	 0.77047	 0.71961	 -0.36419	 0.98793	 -0.60544	 -0.12168
	 0.68333	 -0.70785	 0.87937	 0.00709	 0.73948	 0.71878	 0.87823	 -0.37670	 -0.30262
	 0.64657	 -0.05072	 0.99291	 0.39010	 0.43099	 0.27015	 0.84499	 -0.74910	 0.00000
	 0.44762	 -0.27940	 0.82082	 0.06523	 0.69681	 -0.59855	 0.94721	 -0.22941	 0.00000
	 0.74275	 -0.77279	 0.96805	 0.60914	 0.37904	 0.20847	 0.85628	 -0.88139	 -0.13294
	 0.52162	 -0.84531	 0.90340	 0.45349	 0.52201	 -0.26800	 0.79854	 -0.81512	 -0.16332
	 0.57106	 -0.60509	 0.96407	 0.32414	 0.62192	 -0.71962	 0.91849	 -0.57706	 -0.13432
	 0.59198	 -0.46406	 0.97455	 0.00639	 0.63480	 -0.38825	 0.97066	 -0.23865	 -0.18859
	 0.62391	 -0.62180	 0.85465	 0.00526	 0.65856	 -0.79403	 0.86917	 -0.51293	 -0.17508
	 0.57301	 -0.87760	 0.91727	 0.36943	 0.49924	 -0.13944	 0.93986	 -0.88160	 0.00000
	 0.63130	 -0.61592	 0.91727	 0.45413	 0.61558	 -0.13880	 0.86869	 -0.87598	 -0.26356
	 0.56816	 -0.60062	 0.98604	 0.32414	 0.73093	 -0.71962	 0.93307	 -0.23563	 -0.01372
	 0.63130	 -0.62799	 0.90399	 0.36820	 0.60188	 -0.18687	 0.87098	 -0.87598	 -0.27776
	 0.41580	 -0.77657	 0.95599	 0.45430	 0.54954	 -0.73182	 0.83357	 -0.42686	 -0.09385
	 0.56563	 -0.62180	 0.85465	 0.00560	 0.65856	 -0.74786	 0.94150	 -0.47832	 -0.14517
	 0.69354	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.39404
	 0.43777	 -0.78181	 0.95097	 0.34787	 0.54100	 -0.72173	 0.96838	 -0.59059	 -0.09333
	 0.39840	 -0.87084	 0.83411	 0.63765	 0.63172	 0.82964	 0.79429	 -0.36719	 0.00000
	 0.63130	 -0.60351	 0.91906	 0.45413	 0.61558	 0.24763	 0.86869	 -0.88174	 0.00000
	 0.56411	 -0.85732	 0.85315	 0.37315	 0.52132	 -0.15831	 0.77802	 -0.87553	 0.00000
	 0.67855	 -0.75098	 0.87937	 0.74306	 0.70666	 0.75524	 0.87467	 -0.39643	 -0.00647
	 0.63130	 -0.61592	 0.91727	 0.43777	 0.61558	 -0.13880	 0.86869	 -0.88193	 -0.26408
	 0.68069	 -0.68186	 0.87937	 0.71953	 0.73555	 0.70295	 0.87467	 -0.37670	 -0.01750
	 0.70825	 -0.77279	 0.90728	 0.67014	 0.37904	 -0.28764	 0.85965	 -0.81677	 -0.18204
	 0.69354	 -0.75098	 0.87937	 0.69657	 0.73948	 0.74456	 0.87467	 -0.43178	 -0.39290
	 0.59270	 -0.39747	 0.96047	 0.00639	 0.63076	 -0.50925	 0.82218	 -0.41748	 -0.20679
	 0.67855	 -0.72077	 0.87937	 0.71953	 0.73948	 0.74456	 0.87467	 -0.18785	 -0.02864
	 0.56563	 -0.62180	 0.86055	 0.00180	 0.65856	 -0.74786	 0.94150	 -0.47832	 -0.15551
	 0.63130	 -0.62799	 0.90399	 0.36003	 0.60188	 -0.18687	 0.87098	 -0.87598	 -0.27647
	 0.63130	 -0.70657	 0.91727	 0.34573	 0.58006	 -0.18687	 0.88269	 -0.87598	 -0.22037
	 0.68334	 -0.70707	 0.88310	 0.00709	 0.73948	 0.71878	 0.87823	 -0.37670	 -0.06467
	 0.69353	 -0.75175	 0.87937	 0.71370	 0.74225	 0.74456	 0.87676	 -0.37670	 -0.39264
	 0.63130	 -0.61592	 0.91727	 0.46044	 0.60188	 -0.18687	 0.86075	 -0.88549	 -0.26192
	 0.59051	 -0.39300	 0.98879	 0.18862	 0.70270	 -0.38825	 0.99461	 -0.60544	 -0.19941
	 0.62391	 -0.57698	 0.85465	 0.03905	 0.65856	 -0.79403	 0.87284	 -0.53863	 -0.15370
	 0.74106	 -0.57811	 0.79472	 0.32458	 0.50208	 0.73482	 0.97934	 -0.06778	 -0.23880
	 0.67228	 -0.59917	 0.87937	 0.00255	 0.72167	 0.71432	 0.97419	 -0.38370	 -0.00896
	 0.74106	 -0.77027	 0.79472	 0.33500	 0.51203	 0.70895	 0.87552	 -0.03742	 -0.19639
	 0.56515	 -0.84390	 0.88094	 0.00770	 0.52630	 -0.74786	 0.94261	 -0.82849	 -0.09461
	 0.48743	 -0.62315	 0.85391	 0.48267	 0.65831	 -0.26800	 0.79854	 -0.50993	 0.00000
	 0.69312	 -0.56538	 0.83721	 0.04445	 0.65668	 -0.74786	 0.87196	 -0.52350	 -0.19282
	 0.55319	 -0.68186	 0.87937	 0.72392	 0.73713	 0.80629	 0.93726	 -0.37670	 0.00000
