l_s	l_l	R	theta	
	 0.15264	 0.47127	 0.00475	 0.18932
	 0.26097	 0.38839	 0.00444	 0.18576
	 0.25822	 0.45427	 0.00382	 0.15855
	 0.10923	 0.19129	 0.02400	 0.19425
	 0.10923	 0.19129	 0.02400	 0.19425
	 0.12945	 0.48693	 0.00481	 0.19108
	 0.10970	 0.48907	 0.00492	 0.19470
	 0.25261	 0.42978	 0.00450	 0.18107
	 0.28370	 0.42699	 0.00380	 5.95049
	 0.25519	 0.45701	 0.00447	 0.18000
	 0.26103	 0.43079	 0.00273	 11.00513
	 0.25518	 0.43788	 0.00382	 0.15857
	 0.28524	 0.42699	 0.00446	 0.18636
	 0.26103	 0.20576	 0.00554	 0.21984
	 0.10923	 0.41250	 0.02183	 0.21287
	 0.25518	 0.39118	 0.00382	 0.15848
	 0.32317	 0.45427	 0.00382	 6.74986
	 0.25069	 0.19129	 0.02425	 0.41897
	 0.10245	 0.39118	 0.00354	 0.14096
	 0.25518	 0.46081	 0.00532	 0.21321
	 0.10923	 0.15994	 0.02393	 0.19442
	 0.11273	 0.42916	 0.00513	 0.20237
	 0.27891	 0.15784	 0.02366	 0.46894
	 0.26103	 0.42816	 0.00403	 0.16792
	 0.16259	 0.45613	 0.00587	 0.23303
	 0.25518	 0.44427	 0.00382	 0.15853
	 0.27065	 0.48277	 0.00474	 0.19071
	 0.25263	 0.19129	 0.02402	 0.42530
	 0.11270	 0.43082	 0.00382	 0.15234
	 0.26106	 0.42799	 0.00386	 0.16021
	 0.25523	 0.42996	 0.00402	 0.16727
	 0.27581	 0.43083	 0.00382	 5.76107
	 0.29685	 0.42814	 0.00382	 6.15589
	 0.25740	 0.42973	 0.00402	 0.16723
	 0.25526	 0.42839	 0.00424	 0.17713
	 0.25518	 0.45122	 0.00363	 5.84100
	 0.25518	 0.40146	 0.00382	 0.15845
	 0.26097	 0.38839	 0.00444	 0.18576
	 0.25525	 0.42978	 0.00448	 0.18017
	 0.26103	 0.42699	 0.00446	 0.18687
	 0.25518	 0.39118	 0.00382	 0.15848
	 0.20715	 0.42974	 0.00377	 0.15735
	 0.25410	 0.35009	 0.00383	 0.15870
	 0.26103	 0.42997	 0.00401	 0.16715
	 0.25523	 0.42815	 0.00403	 0.16804
	 0.10862	 0.36914	 0.00354	 0.14104
	 0.25518	 0.39118	 0.00382	 0.15848
	 0.25819	 0.45700	 0.00382	 0.15879
	 0.25522	 0.45429	 0.00447	 0.17978
	 0.25822	 0.45427	 0.00382	 0.15855
	 0.28524	 0.42699	 0.00446	 0.18636
	 0.25543	 0.38839	 0.00444	 0.18589
	 0.26078	 0.42978	 0.00491	 0.19691
	 0.26106	 0.42799	 0.00505	 0.20230
	 0.25261	 0.42978	 0.00450	 0.18107
	 0.10241	 0.38839	 0.00444	 0.17606
	 0.27542	 0.39862	 0.00354	 6.65636
	 0.25518	 0.43788	 0.00382	 0.15857
	 0.26103	 0.37306	 0.00403	 0.16780
	 0.25518	 0.48038	 0.00447	 0.18002
	 0.28106	 0.42699	 0.00381	 5.88126
	 0.25518	 0.46081	 0.00221	 16.63871
	 0.10923	 0.15608	 0.02464	 0.18916
	 0.26103	 0.42816	 0.00403	 0.16792
