xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.73527	 -0.35893	 0.85242	 0.56867	 0.43065	 0.29542	 0.76757	 -0.49042	 366.88332	 -0.04871 	 4.90650
	 0.38226	 -0.14707	 0.92403	 0.30519	 0.37958	 -0.30898	 0.82659	 -0.15464	 334.91435	 0.00000 	 0.00000
	 0.50842	 -0.25956	 0.92836	 0.76457	 0.66783	 0.15449	 0.93036	 -0.48814	 390.18601	 0.00000 	 0.00000
	 0.73305	 -0.35642	 0.85240	 0.30588	 0.43065	 -0.27120	 0.76040	 -0.77676	 366.88332	 -0.05143 	 4.97369
	 0.65301	 -0.78709	 0.84099	 0.48805	 0.60088	 0.07556	 0.89893	 -0.46334	 351.34648	 -0.00574 	 5.75930
	 0.56342	 -0.66273	 0.78931	 0.19568	 0.55589	 0.62584	 0.82012	 -0.24133	 413.11674	 -0.05339 	 10.15960
	 0.69998	 -0.80539	 0.86360	 0.00683	 0.56335	 -0.45401	 0.76375	 -0.82342	 365.34447	 -0.07162 	 6.99079
	 0.56643	 -0.87397	 0.85126	 0.05863	 0.61567	 0.50016	 0.96360	 -0.49463	 354.36962	 -0.08024 	 9.57893
	 0.69001	 -0.35355	 0.91402	 0.40423	 0.41470	 -0.27629	 0.76373	 -0.68296	 355.37939	 -0.02877 	 7.35593
	 0.73105	 -0.28181	 0.96197	 0.30976	 0.45354	 0.54006	 0.96064	 -0.47869	 366.97046	 -0.07714 	 7.80606
	 0.49424	 -0.57496	 0.89690	 0.37229	 0.62642	 -0.14716	 0.82567	 -0.08792	 403.07189	 -0.25398 	 23.16538
	 0.45619	 -0.16835	 0.96420	 0.70097	 0.41859	 0.60246	 0.90672	 -0.61648	 393.11914	 0.00338 	 12.04373
	 0.74451	 -0.35642	 0.85434	 0.30282	 0.42757	 -0.43640	 0.76375	 -0.46982	 366.88332	 -0.05050 	 4.61162
	 0.65266	 -0.58335	 0.81655	 0.37680	 0.61466	 -0.27252	 0.82298	 -0.49036	 346.37622	 -0.00429 	 4.45495
	 0.68991	 -0.57920	 0.89293	 0.39802	 0.67358	 0.53241	 0.90502	 -0.38442	 390.56537	 -0.21006 	 10.42729
	 0.67910	 -0.78800	 0.94365	 0.48441	 0.60354	 0.06997	 0.82607	 -0.11879	 394.58914	 0.00000 	 0.00000
	 0.56643	 -0.80043	 0.89571	 0.05863	 0.56737	 0.50016	 0.96360	 -0.69529	 354.36962	 -0.09830 	 10.57528
	 0.45596	 -0.57406	 0.85248	 0.37229	 0.62444	 -0.14284	 0.82476	 -0.09158	 403.07189	 -0.38509 	 25.92859
	 0.59458	 -0.52706	 0.91355	 0.01470	 0.56166	 -0.28621	 0.76788	 -0.11516	 396.24147	 -0.24052 	 17.41310
	 0.73187	 -0.35642	 0.91165	 0.29659	 0.45352	 -0.54969	 0.84902	 -0.48898	 366.88332	 -0.04896 	 7.36092
	 0.74459	 -0.80766	 0.84498	 0.18622	 0.45945	 -0.62484	 0.92803	 -0.69466	 341.57277	 -0.00039 	 2.47187
	 0.72404	 -0.76589	 0.76314	 0.05567	 0.42977	 -0.64639	 0.96532	 -0.45189	 356.44804	 -0.01248 	 1.61336
	 0.69005	 -0.69332	 0.95679	 0.40400	 0.67386	 0.53120	 0.96357	 -0.67558	 390.56537	 -0.22757 	 13.37039
	 0.68919	 -0.66742	 0.95978	 0.39424	 0.41471	 0.53241	 0.96357	 -0.67625	 354.53718	 -0.24934 	 9.08592
	 0.73305	 -0.34379	 0.85395	 0.30282	 0.43065	 -0.27120	 0.76375	 -0.49042	 366.88332	 -0.05080 	 5.02404
	 0.73305	 -0.35642	 0.85395	 0.30282	 0.43065	 -0.27120	 0.76375	 -0.49042	 366.88332	 -0.05182 	 5.03647
	 0.68698	 -0.65566	 0.85240	 0.29144	 0.43065	 -0.27120	 0.75882	 -0.67885	 354.66446	 -0.02749 	 5.48637
	 0.73526	 -0.36849	 0.95978	 0.40542	 0.41471	 0.53241	 0.96357	 -0.77352	 366.75603	 -0.05972 	 6.58376
	 0.69998	 -0.80539	 0.86360	 0.05638	 0.56335	 -0.45691	 0.95482	 -0.31624	 356.15994	 -0.02350 	 5.62623
	 0.72404	 -0.76589	 0.76314	 0.00813	 0.42977	 -0.64349	 0.77463	 -0.87517	 365.63256	 -0.03128 	 1.91972
	 0.49608	 -0.35642	 0.89710	 0.25418	 0.41257	 -0.14919	 0.82682	 -0.49068	 366.88332	 -0.09686 	 16.27756
	 0.73083	 -0.57496	 0.85376	 0.37229	 0.62743	 -0.26917	 0.76261	 -0.07396	 403.07189	 -0.20019 	 9.25258
