xs-	ys-	xs+	ys+	theta	
	 0.74025	 -0.89417	 0.91468	 0.62303	 -0.28003
	 0.71954	 -0.79601	 0.93307	 0.66437	 -0.33886
	 0.72716	 -0.52976	 0.94721	 0.39935	 -0.45786
	 0.66590	 -0.75098	 0.84841	 0.66823	 0.00000
	 0.73809	 -0.81916	 0.83813	 0.58572	 -0.21428
	 0.74153	 -0.67478	 0.86222	 0.58114	 -0.26806
	 0.72422	 -0.74787	 0.84738	 0.58123	 -0.27795
	 0.73018	 -0.81928	 0.94515	 0.64450	 -0.34586
	 0.67942	 -0.75459	 0.93307	 0.65160	 -0.24027
	 0.71867	 -0.84714	 0.93376	 0.66785	 -0.27307
	 0.72241	 -0.75098	 0.92843	 0.73059	 -0.35618
	 0.69391	 -0.85075	 0.89060	 0.66437	 -0.29742
	 0.73917	 -0.73965	 0.94755	 0.52330	 -0.37117
	 0.71358	 -0.65759	 0.88134	 0.64450	 -0.35334
	 0.72811	 -0.81562	 0.94721	 0.10288	 -0.34272
	 0.71954	 -0.50835	 0.93307	 0.66437	 -0.45220
	 0.72811	 -0.52976	 0.94037	 0.40260	 -0.44916
	 0.73847	 -0.72045	 0.83258	 0.58123	 -0.22782
	 0.72811	 -0.52976	 0.98307	 0.40260	 -0.50768
	 0.74283	 -0.77648	 0.93292	 0.19983	 -0.33310
	 0.74446	 -0.68437	 0.94188	 0.18933	 -0.38281
	 0.68918	 -0.70921	 0.88594	 0.77300	 -0.31413
	 0.72948	 -0.74820	 0.94778	 0.12307	 -0.36697
	 0.69291	 -0.53254	 0.87880	 0.69398	 -0.23225
	 0.72809	 -0.51897	 0.94721	 0.04123	 -0.45893
	 0.73078	 -0.78787	 0.94232	 0.71309	 -0.35293
	 0.72809	 -0.51897	 0.93306	 0.57689	 -0.44746
	 0.71954	 -0.50625	 0.94723	 0.18249	 -0.46015
	 0.71358	 -0.65759	 0.88531	 0.40461	 -0.34525
	 0.72811	 -0.52976	 0.94324	 0.64249	 -0.45672
	 0.72941	 -0.51591	 0.94756	 0.10288	 -0.46307
	 0.74151	 -0.73566	 0.95601	 0.25614	 -0.38345
	 0.72811	 -0.52976	 0.94721	 0.10288	 -0.45452
	 0.72721	 -0.74928	 0.95786	 0.64450	 -0.38373
	 0.71943	 -0.68437	 0.94097	 0.73523	 -0.39196
	 0.72238	 -0.86853	 0.93307	 0.14920	 -0.23866
	 0.73213	 -0.81928	 0.94095	 0.64450	 -0.33998
	 0.73020	 -0.76007	 0.94721	 0.61858	 -0.36697
	 0.74283	 -0.74534	 0.93292	 0.18715	 -0.34412
	 0.73018	 -0.74926	 0.94721	 0.65720	 -0.37107
	 0.71769	 -0.68306	 0.95867	 0.66437	 -0.40558
	 0.74286	 -0.79669	 0.93281	 0.23210	 -0.32627
	 0.74330	 -0.74803	 0.94272	 0.19983	 -0.35806
	 0.72241	 -0.75098	 0.92843	 0.73059	 -0.35618
	 0.72810	 -0.52976	 0.94049	 0.40260	 -0.44933
	 0.72716	 -0.52976	 0.94709	 0.39935	 -0.45769
	 0.72716	 -0.52981	 0.94044	 0.39935	 -0.44868
	 0.72811	 -0.57653	 0.94390	 0.10288	 -0.42815
	 0.72811	 -0.86233	 0.94721	 0.10288	 -0.26491
	 0.71954	 -0.50835	 0.93307	 0.66437	 -0.45220
	 0.73049	 -0.74335	 0.94721	 0.64450	 -0.37289
	 0.72780	 -0.53568	 0.94037	 0.40260	 -0.44617
	 0.70886	 -0.74803	 0.93292	 0.17176	 -0.29645
	 0.73020	 -0.71580	 0.94721	 0.67262	 -0.38315
	 0.73020	 -0.76007	 0.87833	 0.64258	 -0.29083
	 0.71264	 -0.65759	 0.95023	 0.62050	 -0.39805
	 0.70260	 -0.73296	 0.93292	 0.19983	 -0.27585
	 0.72811	 -0.51591	 0.94721	 0.10288	 -0.46129
	 0.73252	 -0.51591	 0.94117	 0.65895	 -0.46376
	 0.73049	 -0.74335	 0.94047	 0.08934	 -0.35873
	 0.72809	 -0.51897	 0.93945	 0.57689	 -0.45597
	 0.71954	 -0.50625	 0.91355	 0.18249	 -0.41759
	 0.71932	 -0.52972	 0.94723	 0.18249	 -0.44972
	 0.72738	 -0.50629	 0.94709	 0.39935	 -0.46940
	 0.71943	 -0.70321	 0.94106	 0.64286	 -0.38411
	 0.72721	 -0.74928	 0.95777	 0.73687	 -0.38446
	 0.72811	 -0.52976	 0.94037	 0.39836	 -0.44909
	 0.71954	 -0.50835	 0.93307	 0.66437	 -0.45220
	 0.72811	 -0.51591	 0.94059	 0.08940	 -0.45132
	 0.72810	 -0.52976	 0.94049	 0.44586	 -0.45001
	 0.70691	 -0.73330	 0.94755	 0.50357	 -0.29260
	 0.72754	 -0.57653	 0.94390	 0.08804	 -0.42769
	 0.72809	 -0.51450	 0.94721	 0.08118	 -0.46167
	 0.73917	 -0.74412	 0.94755	 0.52330	 -0.36948
	 0.72811	 -0.56758	 0.94721	 0.10288	 -0.43686
	 0.72536	 -0.51591	 0.95203	 0.11936	 -0.46581
	 0.72811	 -0.53535	 0.93986	 0.40260	 -0.44579
	 0.72780	 -0.53010	 0.94772	 0.38547	 -0.45865
	 0.72811	 -0.51690	 0.94728	 0.34752	 -0.46426
	 0.72941	 -0.52877	 0.94749	 0.10288	 -0.45655
	 0.69486	 -0.51615	 0.94721	 0.10644	 -0.31761
	 0.72809	 -0.48852	 0.94721	 0.03740	 -0.47420
	 0.72811	 -0.52976	 0.98307	 0.59149	 -0.50863
	 0.72811	 -0.52976	 0.95305	 0.06038	 -0.46251
	 0.72011	 -0.50834	 0.97674	 0.66437	 -0.50052
	 0.72753	 -0.52977	 0.93940	 0.39443	 -0.44740
	 0.72809	 -0.51897	 0.94721	 0.04123	 -0.45893
	 0.72809	 -0.51897	 0.94721	 0.09464	 -0.45965
