l_s	l_l	R	theta	
	 0.58201	 0.49736	 0.02793	 -0.44500
	 0.54747	 0.55115	 0.02861	 -0.45491
	 0.39183	 0.54848	 0.02811	 -0.43021
	 0.58331	 0.43177	 0.02951	 -0.46920
	 0.39045	 0.42338	 0.02986	 -0.45209
	 0.54506	 0.50507	 0.02802	 -0.44225
	 0.58671	 0.56876	 0.02829	 -0.45032
	 0.59675	 0.37698	 0.02925	 -0.46388
	 0.55919	 0.54967	 0.02793	 -0.44508
	 0.31328	 0.55115	 0.02928	 -0.37919
	 0.38246	 0.50544	 0.02957	 -0.44686
	 0.39183	 0.54967	 0.02957	 -0.45212
	 0.59500	 0.55115	 0.02927	 -0.46361
	 0.54840	 0.55115	 0.02861	 -0.45518
	 0.55610	 0.53470	 0.02827	 -0.44796
	 0.48805	 0.36571	 0.02927	 -0.45667
	 0.59846	 0.28580	 0.02861	 -0.45703
	 0.58383	 0.51060	 0.02939	 -0.46807
	 0.37157	 0.49650	 0.02955	 -0.43634
	 0.59718	 0.52842	 0.02927	 -0.46422
	 0.54694	 0.55564	 0.02877	 -0.45641
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59499	 0.49668	 0.02911	 -0.46178
	 0.59868	 0.55115	 0.02927	 -0.46464
	 0.58383	 0.51060	 0.02945	 -0.46868
	 0.59675	 0.50581	 0.02897	 -0.46065
	 0.59675	 0.57353	 0.02849	 -0.45519
	 0.54694	 0.55987	 0.02877	 -0.45641
	 0.59675	 0.55115	 0.02849	 -0.45519
	 0.59675	 0.55115	 0.02927	 -0.46410
	 0.59675	 0.54569	 0.02940	 -0.46561
	 0.54694	 0.55115	 0.02861	 -0.45475
	 0.54694	 0.55987	 0.02881	 -0.45682
	 0.43476	 0.49650	 0.02957	 -0.45556
	 0.54694	 0.56511	 0.02989	 -0.47327
	 0.59675	 0.47347	 0.02882	 -0.45898
	 0.57334	 0.49679	 0.02995	 -0.47070
	 0.43290	 0.45282	 0.02960	 -0.45456
	 0.59908	 0.29875	 0.02948	 -0.46707
	 0.59797	 0.48374	 0.02943	 -0.46628
	 0.59500	 0.56964	 0.02927	 -0.46361
	 0.59929	 0.50643	 0.02861	 -0.45721
	 0.59975	 0.56834	 0.02995	 -0.47255
	 0.54970	 0.53705	 0.02717	 -0.43406
	 0.59675	 0.55115	 0.02925	 -0.46388
	 0.59675	 0.37698	 0.02927	 -0.46409
	 0.58348	 0.57106	 0.02928	 -0.46669
	 0.59657	 0.43077	 0.02950	 -0.46669
	 0.48805	 0.36571	 0.02927	 -0.45667
	 0.58331	 0.43177	 0.02951	 -0.46920
	 0.59675	 0.37698	 0.02925	 -0.46388
	 0.51352	 0.56947	 0.02927	 -0.46120
	 0.59839	 0.54575	 0.02940	 -0.46607
	 0.59675	 0.55109	 0.02927	 -0.46410
	 0.59609	 0.49077	 0.02856	 -0.45587
	 0.59128	 0.55714	 0.02920	 -0.46181
	 0.59797	 0.49668	 0.02943	 -0.46628
	 0.54840	 0.55115	 0.02861	 -0.45518
	 0.59888	 0.55107	 0.02939	 -0.46602
	 0.59966	 0.54576	 0.02929	 -0.46510
	 0.54694	 0.56511	 0.02989	 -0.47327
	 0.59675	 0.55115	 0.02924	 -0.46376
	 0.59797	 0.50576	 0.02927	 -0.46442
	 0.58331	 0.44464	 0.02944	 -0.46836
	 0.57334	 0.49679	 0.02995	 -0.47070
	 0.59868	 0.55115	 0.02954	 -0.46769
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59908	 0.29875	 0.02948	 -0.46707
	 0.53713	 0.53058	 0.02921	 -0.46335
	 0.59797	 0.39532	 0.02944	 -0.46632
	 0.59797	 0.48392	 0.02994	 -0.47192
	 0.59675	 0.47853	 0.02944	 -0.46599
	 0.59628	 0.40133	 0.02991	 -0.47102
	 0.58507	 0.48162	 0.02956	 -0.47020
	 0.59839	 0.54575	 0.02940	 -0.46607
	 0.57334	 0.49679	 0.02995	 -0.47070
	 0.59675	 0.37698	 0.02925	 -0.46388
	 0.59675	 0.54569	 0.02940	 -0.46561
	 0.54694	 0.56511	 0.02989	 -0.47327
	 0.58331	 0.43177	 0.02979	 -0.47218
	 0.59675	 0.49668	 0.02977	 -0.46968
	 0.59975	 0.56834	 0.02995	 -0.47255
	 0.51207	 0.55118	 0.02927	 -0.46065
	 0.56077	 0.57592	 0.02927	 -0.46583
	 0.59908	 0.29875	 0.02948	 -0.46707
	 0.59657	 0.36190	 0.02950	 -0.46669
	 0.59675	 0.52689	 0.02942	 -0.46577
	 0.59675	 0.55115	 0.02927	 -0.46407
	 0.59675	 0.55115	 0.02702	 -0.43747
	 0.59130	 0.49984	 0.02992	 -0.47596
	 0.58383	 0.51060	 0.02939	 -0.46807
	 0.55466	 0.58412	 0.02925	 -0.46369
	 0.58409	 0.57106	 0.02928	 -0.46687
	 0.59438	 0.55115	 0.02963	 -0.46744
	 0.58348	 0.57106	 0.02901	 -0.46369
	 0.59804	 0.56834	 0.02995	 -0.47204
	 0.59904	 0.49817	 0.02943	 -0.46658
	 0.58289	 0.41260	 0.02984	 -0.47259
	 0.55387	 0.56511	 0.02989	 -0.46975
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.54958	 0.56810	 0.02995	 -0.46886
	 0.59585	 0.57818	 0.02989	 -0.47072
	 0.58543	 0.43177	 0.02951	 -0.46983
	 0.58289	 0.41260	 0.02984	 -0.47259
	 0.58359	 0.57847	 0.02856	 -0.45260
	 0.58463	 0.42118	 0.02995	 -0.47420
	 0.58331	 0.53262	 0.02989	 -0.47317
	 0.54694	 0.56511	 0.02980	 -0.46648
	 0.57351	 0.52171	 0.02995	 -0.47075
	 0.59839	 0.47836	 0.02995	 -0.47212
	 0.57831	 0.48252	 0.02995	 -0.47228
	 0.58605	 0.51060	 0.02945	 -0.46934
	 0.54643	 0.43983	 0.02991	 -0.47323
	 0.58381	 0.55018	 0.02989	 -0.47338
	 0.58184	 0.50357	 0.02939	 -0.46747
	 0.59735	 0.49732	 0.02977	 -0.46986
	 0.54694	 0.53147	 0.02984	 -0.46686
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.59130	 0.49984	 0.02988	 -0.47556
	 0.59130	 0.45151	 0.02983	 -0.47506
	 0.59738	 0.49668	 0.02995	 -0.47181
	 0.59797	 0.43772	 0.02977	 -0.46998
	 0.59908	 0.30787	 0.02948	 -0.46707
	 0.59797	 0.48392	 0.02994	 -0.47192
	 0.58289	 0.44394	 0.02774	 -0.44297
	 0.59618	 0.49984	 0.02992	 -0.47110
	 0.57334	 0.48239	 0.02995	 -0.47070
	 0.58507	 0.49602	 0.02959	 -0.47061
	 0.59667	 0.40133	 0.02990	 -0.47108
	 0.58347	 0.51060	 0.02940	 -0.46801
	 0.59756	 0.40133	 0.02991	 -0.47139
	 0.54822	 0.56511	 0.02989	 -0.46781
	 0.57960	 0.36190	 0.02950	 -0.46800
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59975	 0.56834	 0.02995	 -0.47255
	 0.58189	 0.56834	 0.02995	 -0.47343
	 0.58507	 0.48162	 0.02956	 -0.47020
	 0.59804	 0.56398	 0.02995	 -0.47204
	 0.58307	 0.49505	 0.02734	 -0.43833
	 0.57358	 0.43351	 0.02959	 -0.46706
	 0.54694	 0.56511	 0.02988	 -0.46725
	 0.59130	 0.49984	 0.02989	 -0.47568
	 0.58381	 0.55385	 0.02989	 -0.47338
	 0.54426	 0.48195	 0.02989	 -0.47231
	 0.58381	 0.55314	 0.02989	 -0.47339
	 0.59130	 0.49984	 0.02983	 -0.47505
	 0.59155	 0.41260	 0.02984	 -0.47524
	 0.59738	 0.49668	 0.02995	 -0.47181
	 0.59447	 0.49984	 0.02984	 -0.47604
	 0.59130	 0.49564	 0.02991	 -0.47593
	 0.59055	 0.49971	 0.02983	 -0.47476
	 0.59992	 0.56847	 0.02998	 -0.47287
	 0.54694	 0.56511	 0.02989	 -0.47327
	 0.59220	 0.49668	 0.02995	 -0.47658
	 0.58331	 0.53262	 0.02787	 -0.44465
	 0.54694	 0.56511	 0.02989	 -0.47327
	 0.59804	 0.56834	 0.02995	 -0.47204
	 0.59839	 0.47023	 0.03000	 -0.47263
	 0.58463	 0.42118	 0.02995	 -0.47420
	 0.59130	 0.49984	 0.02988	 -0.47556
	 0.57334	 0.48204	 0.02995	 -0.47069
	 0.54694	 0.57976	 0.02989	 -0.47327
	 0.54694	 0.56511	 0.02989	 -0.47327
	 0.54643	 0.43983	 0.02991	 -0.47323
	 0.58133	 0.45116	 0.02983	 -0.47200
	 0.59186	 0.56698	 0.02995	 -0.47652
	 0.59969	 0.47653	 0.02733	 -0.44200
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.54643	 0.42520	 0.02991	 -0.47323
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.59867	 0.49984	 0.02997	 -0.47243
	 0.59787	 0.48392	 0.02994	 -0.47189
	 0.59994	 0.56834	 0.02995	 -0.47260
	 0.59130	 0.49984	 0.02988	 -0.47556
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.59676	 0.49984	 0.02983	 -0.47036
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59130	 0.49984	 0.02851	 -0.45403
	 0.59130	 0.45151	 0.02983	 -0.47506
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.59130	 0.40689	 0.02983	 -0.47505
	 0.59155	 0.41260	 0.02984	 -0.47524
	 0.59161	 0.52031	 0.02983	 -0.47515
	 0.59130	 0.56364	 0.02984	 -0.47508
	 0.58189	 0.50453	 0.03000	 -0.47390
	 0.59130	 0.49984	 0.02653	 -0.43014
	 0.59130	 0.50359	 0.02992	 -0.47596
	 0.56800	 0.49984	 0.02992	 -0.47475
	 0.59129	 0.49984	 0.02984	 -0.47509
	 0.54395	 0.56680	 0.02994	 -0.47263
	 0.59409	 0.49815	 0.02983	 -0.47588
	 0.59186	 0.49746	 0.02983	 -0.47522
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.56551	 0.49668	 0.02995	 -0.47425
	 0.59222	 0.42118	 0.02668	 -0.43225
	 0.58865	 0.49998	 0.02997	 -0.47571
	 0.59220	 0.49655	 0.02981	 -0.47511
	 0.59130	 0.49984	 0.02983	 -0.47505
	 0.59130	 0.49984	 0.02988	 -0.47556
	 0.59130	 0.49245	 0.02983	 -0.47506
	 0.59130	 0.49984	 0.02983	 -0.47506
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.51394	 0.49984	 0.02888	 -0.45243
	 0.59130	 0.46324	 0.02983	 -0.47506
	 0.59130	 0.49564	 0.02991	 -0.47593
	 0.59131	 0.56698	 0.02984	 -0.47512
	 0.59185	 0.49984	 0.02995	 -0.47646
	 0.59130	 0.53466	 0.02988	 -0.47562
	 0.59135	 0.51401	 0.02983	 -0.47508
	 0.59130	 0.36948	 0.02984	 -0.47508
	 0.59130	 0.49393	 0.02991	 -0.47590
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59265	 0.50359	 0.02992	 -0.47637
	 0.59409	 0.49815	 0.02993	 -0.47692
	 0.59155	 0.41260	 0.02984	 -0.47524
	 0.59130	 0.49984	 0.02711	 -0.43747
	 0.59130	 0.49984	 0.02989	 -0.47563
	 0.59130	 0.50359	 0.02992	 -0.47596
	 0.59130	 0.49984	 0.02720	 -0.43850
	 0.58607	 0.41260	 0.02984	 -0.47357
	 0.59557	 0.49984	 0.02989	 -0.47059
	 0.59130	 0.49649	 0.02989	 -0.47563
	 0.59220	 0.50003	 0.02617	 -0.41995
	 0.59130	 0.47987	 0.02988	 -0.47556
	 0.59130	 0.53367	 0.02914	 -0.46113
	 0.59130	 0.49984	 0.02989	 -0.47568
	 0.53983	 0.49998	 0.02997	 -0.47138
	 0.59130	 0.49984	 0.02988	 -0.47556
	 0.59130	 0.49564	 0.02991	 -0.47593
	 0.59130	 0.51868	 0.02989	 -0.47563
	 0.59186	 0.56698	 0.02995	 -0.47652
	 0.59212	 0.49678	 0.02989	 -0.47592
	 0.59138	 0.49975	 0.02995	 -0.47634
	 0.59186	 0.47134	 0.02983	 -0.47522
	 0.59130	 0.51237	 0.02991	 -0.47593
	 0.57993	 0.49984	 0.02989	 -0.47212
	 0.59130	 0.49984	 0.02988	 -0.47556
	 0.59130	 0.50061	 0.02991	 -0.47593
	 0.59130	 0.49487	 0.02989	 -0.47568
	 0.59185	 0.49979	 0.02995	 -0.47646
	 0.59409	 0.49820	 0.02983	 -0.47588
	 0.59130	 0.50114	 0.02995	 -0.47630
	 0.47246	 0.49984	 0.02989	 -0.46373
	 0.58052	 0.49555	 0.02816	 -0.44731
	 0.59130	 0.49993	 0.02991	 -0.47594
	 0.59130	 0.49984	 0.02988	 -0.47556
	 0.59186	 0.56698	 0.03000	 -0.47701
	 0.59129	 0.49984	 0.02984	 -0.47509
	 0.59447	 0.47746	 0.02984	 -0.47604
	 0.59130	 0.52970	 0.02983	 -0.47507
	 0.59447	 0.49984	 0.02989	 -0.47661
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.58342	 0.50359	 0.02992	 -0.47353
	 0.59447	 0.47746	 0.02984	 -0.47604
	 0.59265	 0.51970	 0.02992	 -0.47637
	 0.59958	 0.48482	 0.02995	 -0.47244
	 0.58971	 0.49249	 0.02991	 -0.47544
	 0.59186	 0.56698	 0.03000	 -0.47699
	 0.59130	 0.51237	 0.02991	 -0.47593
	 0.59130	 0.49984	 0.02989	 -0.47568
	 0.59186	 0.57361	 0.03000	 -0.47701
	 0.59447	 0.49984	 0.02984	 -0.47604
	 0.59182	 0.56698	 0.02995	 -0.47651
	 0.59133	 0.49044	 0.02991	 -0.47594
	 0.59130	 0.49983	 0.02989	 -0.47563
	 0.55705	 0.51845	 0.02999	 -0.47177
	 0.59130	 0.49994	 0.02991	 -0.47590
