xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.43202	 -0.81961	 0.84633	 0.12838	 384.41300	 -0.20224 	 22.55027
	 0.40831	 -0.56471	 0.87288	 0.08823	 388.06118	 -0.26099 	 26.80549
	 0.43202	 -0.83369	 0.84645	 0.05049	 384.41300	 -0.21698 	 22.79536
	 0.65927	 -0.55616	 0.85174	 0.56224	 375.03665	 -0.07338 	 9.02343
	 0.70696	 -0.03731	 0.91087	 0.41988	 320.12160	 0.00000 	 0.00000
	 0.65582	 -0.58078	 0.92439	 0.63373	 381.80865	 -0.17401 	 14.53111
	 0.40230	 -0.55520	 0.87300	 0.56943	 374.00239	 0.00000 	 0.00000
	 0.40751	 -0.38178	 0.89730	 0.04970	 388.06118	 -0.24490 	 27.67575
	 0.74209	 -0.57936	 0.87306	 0.19507	 379.83048	 -0.11895 	 7.17746
	 0.65200	 -0.41305	 0.89287	 0.02769	 395.63846	 -0.26351 	 15.88342
	 0.64109	 -0.57899	 0.77952	 0.09495	 336.61583	 -0.00000 	 2.89489
	 0.65083	 -0.62211	 0.81051	 0.23847	 373.92796	 -0.05999 	 7.37001
	 0.40831	 -0.58063	 0.87300	 0.04970	 388.06118	 -0.26028 	 26.61049
	 0.65083	 -0.62211	 0.81051	 0.05717	 373.51324	 -0.07745 	 7.41939
	 0.40751	 -0.58063	 0.87300	 0.23100	 388.47590	 -0.23357 	 26.56236
	 0.70580	 -0.03731	 0.85305	 0.40461	 318.94391	 0.00000 	 1.42905
	 0.70319	 -0.80361	 0.81757	 0.04849	 386.86953	 -0.15018 	 7.27214
	 0.71351	 -0.80361	 0.81730	 0.03956	 385.69144	 -0.13915 	 6.59821
	 0.70459	 -0.03731	 0.85332	 0.41347	 320.12160	 0.00000 	 1.55117
	 0.66783	 -0.04280	 0.88629	 0.06727	 320.11480	 0.00000 	 0.00000
	 0.73385	 -0.03638	 0.83546	 0.34456	 344.99581	 0.00000 	 0.00000
	 0.59407	 -0.77233	 0.85541	 0.76150	 364.01163	 -0.03379 	 10.17028
	 0.65585	 -0.39907	 0.89287	 0.80133	 395.63846	 -0.18162 	 14.67935
