Test : Start of hold value,50,MPa,,,
,,,,,
Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
20.6,7.14523,3.70003,55.57548,0.00481,32.45379
20.7,7.14798,3.72203,55.57548,0.00484,32.64678
20.8,7.15021,3.72672,55.57548,0.00486,32.6879
20.9,7.15266,3.74215,55.57548,0.00488,32.8232
21,7.1554,3.74859,55.57548,0.00491,32.87976
21.1,7.15778,3.76191,55.57677,0.00493,32.99659
21.2,7.16023,3.78883,55.57677,0.00496,33.2327
21.3,7.16285,3.80948,55.57677,0.00498,33.41378
21.4,7.16527,3.83829,55.57677,0.005,33.66649
21.5,7.1677,3.87044,55.57677,0.00503,33.94854
21.6,7.17048,3.90199,55.57677,0.00505,34.22526
21.7,7.17288,3.92261,55.576,0.00507,34.40612
21.8,7.17522,3.93036,55.576,0.0051,34.47408
21.9,7.17802,3.95382,55.576,0.00512,34.67985
22,7.18051,3.96801,55.576,0.00515,34.80428
22.1,7.18273,3.96378,55.576,0.00517,34.76721
22.2,7.18557,3.98745,55.57519,0.00519,34.97485
22.3,7.18811,4.00978,55.57519,0.00522,35.1707
22.4,7.19017,4.02891,55.57519,0.00524,35.33849
22.5,7.19279,4.05044,55.57519,0.00526,35.52731
22.6,7.19571,4.07932,55.57519,0.00529,35.78064
22.7,7.19767,4.10713,55.57519,0.00531,36.02454
22.8,7.20007,4.13038,55.58165,0.00533,36.22849
22.9,7.20313,4.14774,55.58165,0.00536,36.38077
23,7.20533,4.16869,55.58165,0.00538,36.56454
23.1,7.20751,4.16254,55.58165,0.0054,36.51058
23.2,7.21046,4.18839,55.58165,0.00543,36.73731
23.3,7.21302,4.19746,55.58165,0.00545,36.81683
23.4,7.21497,4.21599,55.58132,0.00547,36.97937
23.5,7.21781,4.24769,55.58132,0.0055,37.25742
23.6,7.22081,4.27401,55.58132,0.00552,37.48832
23.7,7.2226,4.30342,55.58132,0.00554,37.74627
23.8,7.22515,4.32878,55.58132,0.00556,37.96873
23.9,7.22835,4.35267,55.58132,0.00559,38.17823
24,7.23034,4.36612,55.58567,0.00561,38.29622
24.1,7.23259,4.37557,55.58567,0.00563,38.37906
24.2,7.23569,4.39988,55.58567,0.00566,38.59235
24.3,7.23802,4.40481,55.58567,0.00569,38.63554
24.4,7.24002,4.41067,55.58567,0.0057,38.68695
24.5,7.24288,4.4197,55.5928,0.00573,38.7662
24.6,7.24563,4.44551,55.5928,0.00576,38.99256
24.7,7.24751,4.46554,55.5928,0.00577,39.16827
24.8,7.25012,4.49322,55.5928,0.0058,39.41102
24.9,7.25317,4.52423,55.5928,0.00583,39.68307
25,7.25523,4.5438,55.5928,0.00585,39.8547
25.1,7.25758,4.56328,55.59465,0.00587,40.02551
25.2,7.26055,4.58843,55.59465,0.0059,40.24612
25.3,7.26287,4.59534,55.59465,0.00592,40.30679
25.4,7.26504,4.60878,55.59465,0.00594,40.42466
25.5,7.268,4.62379,55.59465,0.00597,40.55634
25.6,7.27052,4.64546,55.59465,0.00599,40.74633
25.7,7.27266,4.65751,55.60184,0.00601,40.85207
25.8,7.27543,4.68643,55.60184,0.00604,41.10573
25.9,7.27821,4.71202,55.60184,0.00606,41.33022
26,7.28035,4.71699,55.60184,0.00608,41.37375
26.1,7.2828,4.74731,55.60184,0.00611,41.63971
26.2,7.28564,4.76965,55.60184,0.00613,41.8357
26.3,7.28787,4.79581,55.60239,0.00615,42.06516
26.4,7.29027,4.81148,55.60239,0.00618,42.20257
26.5,7.293,4.82631,55.60239,0.0062,42.33268
26.6,7.29532,4.84781,55.60239,0.00622,42.52124
26.7,7.29772,4.86716,55.60239,0.00624,42.69095
26.8,7.30046,4.8809,55.60351,0.00627,42.81142
26.9,7.30289,4.89494,55.60351,0.00629,42.93465
27,7.30521,4.90885,55.60351,0.00632,43.05664
